"","day_index","day","year","mo","county","temp","prcp","NUM_COLLISIONS"
"375",5,2,2013,1,"Bronx County",38,0,0.12719298245614
"382",7,3,2013,1,"Bronx County",27.5,0,0.232456140350877
"395",15,4,2013,1,"Bronx County",21.8,0,0.258771929824561
"401",16,5,2013,1,"Bronx County",32.2,0,0.241228070175439
"411",21,6,2013,1,"Bronx County",37.3,0,0.171052631578947
"425",30,7,2013,1,"Bronx County",35.7,0.01,0.153508771929825
"432",32,1,2013,1,"Bronx County",35.9,0.01,0.223684210526316
"441",36,2,2013,1,"Bronx County",39.8,0,0.219298245614035
"451",41,3,2013,1,"Bronx County",39.9,0,0.201754385964912
"464",49,4,2013,1,"Bronx County",43.5,0,0.219298245614035
"473",53,5,2013,1,"Bronx County",38,0,0.245614035087719
"482",57,6,2013,1,"Bronx County",42.7,0.17,0.18859649122807
"494",64,7,2013,1,"Bronx County",45.4,0.01,0.118421052631579
"505",70,1,2013,1,"Bronx County",47.2,0,0.25
"514",74,2,2013,1,"Bronx County",42.3,0.24,0.206140350877193
"525",80,3,2013,1,"Bronx County",41.6,0.35,0.206140350877193
"533",83,4,2013,1,"Bronx County",39.4,0.47,0.18859649122807
"545",90,5,2013,1,"Bronx County",28.1,0.01,0.197368421052632
"554",94,6,2013,1,"Bronx County",35.9,0,0.175438596491228
"564",99,7,2013,1,"Bronx County",46.3,0,0.12280701754386
"575",105,1,2013,1,"Bronx County",31.2,0,0.0833333333333333
"582",107,2,2013,1,"Bronx County",26.3,0.14,0.201754385964912
"595",115,3,2013,1,"Bronx County",16.2,0.01,0.179824561403509
"604",119,4,2013,1,"Bronx County",14.3,0,0.206140350877193
"614",124,5,2013,1,"Bronx County",19,0,0.31140350877193
"621",126,6,2013,1,"Bronx County",24.4,0,0.241228070175439
"633",133,7,2013,1,"Bronx County",21.7,0,0.171052631578947
"643",138,1,2013,1,"Bronx County",27.3,0,0.18859649122807
"646",141,2,2013,1,"Bronx County",35.4,0.08,0.192982456140351
"652",147,3,2013,1,"Bronx County",45.1,0.03,0.157894736842105
"660",155,4,2013,1,"Bronx County",46.5,0.02,0.192982456140351
"1850",160,5,2013,2,"Bronx County",33.1,0.23,0.210526315789474
"1856",161,6,2013,2,"Bronx County",27.6,0,0.302631578947368
"1869",169,7,2013,2,"Bronx County",30.7,0.01,0.214912280701754
"1878",173,1,2013,2,"Bronx County",29,0,0.276315789473684
"1888",178,2,2013,2,"Bronx County",28.7,0,0.236842105263158
"1898",183,3,2013,2,"Bronx County",34.8,0.02,0.219298245614035
"1907",187,4,2013,2,"Bronx County",29.4,0,0.223684210526316
"1918",193,5,2013,2,"Bronx County",34.3,0,0.486842105263158
"1929",199,6,2013,2,"Bronx County",29.2,1.64,0.184210526315789
"1936",201,7,2013,2,"Bronx County",24.7,0.06,0.118421052631579
"1948",208,1,2013,2,"Bronx County",36.4,0,0.175438596491228
"1958",213,2,2013,2,"Bronx County",41.4,0.36,0.254385964912281
"1966",216,3,2013,2,"Bronx County",36.1,0,0.236842105263158
"1978",223,4,2013,2,"Bronx County",36.6,0.11,0.241228070175439
"1989",229,5,2013,2,"Bronx County",38.6,0,0.293859649122807
"1999",234,6,2013,2,"Bronx County",39.2,0,0.223684210526316
"2009",239,7,2013,2,"Bronx County",30.9,0.01,0.166666666666667
"2016",241,1,2013,2,"Bronx County",24.6,0,0.131578947368421
"2030",250,2,2013,2,"Bronx County",36.7,0,0.219298245614035
"2040",255,3,2013,2,"Bronx County",38.7,0.65,0.219298245614035
"2050",260,4,2013,2,"Bronx County",30.6,0.03,0.179824561403509
"2060",265,5,2013,2,"Bronx County",35.4,0,0.267543859649123
"2070",270,6,2013,2,"Bronx County",36.3,0,0.192982456140351
"2080",275,7,2013,2,"Bronx County",42.6,1.07,0.162280701754386
"2087",277,1,2013,2,"Bronx County",37.5,0.75,0.276315789473684
"2096",281,2,2013,2,"Bronx County",35,0.02,0.184210526315789
"2105",290,3,2013,2,"Bronx County",44.1,0.24,0.214912280701754
"2109",294,4,2013,2,"Bronx County",41.4,0.32,0.245614035087719
"3455",300,5,2013,3,"Bronx County",39.3,0.08,0.276315789473684
"3462",302,6,2013,3,"Bronx County",38.2,0,0.166666666666667
"3472",307,7,2013,3,"Bronx County",37.4,0,0.171052631578947
"3485",315,1,2013,3,"Bronx County",37,0,0.210526315789474
"3494",319,2,2013,3,"Bronx County",38.5,0,0.184210526315789
"3503",323,3,2013,3,"Bronx County",39.1,0.02,0.206140350877193
"3513",328,4,2013,3,"Bronx County",38.3,0.8,0.289473684210526
"3525",335,5,2013,3,"Bronx County",37.4,1.58,0.535087719298246
"3531",336,6,2013,3,"Bronx County",39.2,0.4,0.263157894736842
"3541",341,7,2013,3,"Bronx County",39,0,0.157894736842105
"3554",349,1,2013,3,"Bronx County",39.9,0,0.245614035087719
"3564",354,2,2013,3,"Bronx County",46,0,0.210526315789474
"3571",356,3,2013,3,"Bronx County",46.3,0.54,0.271929824561404
"3585",365,4,2013,3,"Bronx County",37,0.49,0.293859649122807
"3594",4,5,2013,3,"Bronx County",31.2,0,0.324561403508772
"3603",8,6,2013,3,"Bronx County",37.1,0,0.25
"3612",12,7,2013,3,"Bronx County",34.8,0,0.166666666666667
"3621",16,1,2013,3,"Bronx County",32.1,0,0.337719298245614
"3634",24,2,2013,3,"Bronx County",39.6,0.41,0.271929824561404
"3641",26,3,2013,3,"Bronx County",36.5,0.35,0.232456140350877
"3654",34,4,2013,3,"Bronx County",38.3,0,0.206140350877193
"3661",36,5,2013,3,"Bronx County",34.3,0.23,0.219298245614035
"3671",41,6,2013,3,"Bronx County",38.5,0.02,0.214912280701754
"3685",50,7,2013,3,"Bronx County",39.1,0,0.175438596491228
"3692",52,1,2013,3,"Bronx County",38.1,0,0.153508771929825
"3703",58,2,2013,3,"Bronx County",39.8,0.05,0.118421052631579
"3715",65,3,2013,3,"Bronx County",41.7,0.01,0.206140350877193
"3725",70,4,2013,3,"Bronx County",42.5,0.02,0.197368421052632
"3733",73,5,2013,3,"Bronx County",45.2,0.02,0.236842105263158
"3737",77,6,2013,3,"Bronx County",44.5,0.02,0.271929824561404
"3742",82,7,2013,3,"Bronx County",43,0,0.157894736842105
"4957",87,1,2013,4,"Bronx County",47,0.18,0.206140350877193
"4967",92,2,2013,4,"Bronx County",39.6,0.02,0.184210526315789
"4976",96,3,2013,4,"Bronx County",42.6,0,0.157894736842105
"4990",105,4,2013,4,"Bronx County",39,0,0.245614035087719
"4999",109,5,2013,4,"Bronx County",42.9,0.01,0.245614035087719
"5010",115,6,2013,4,"Bronx County",40.2,0.33,0.192982456140351
"5018",118,7,2013,4,"Bronx County",39.7,0,0.166666666666667
"5030",125,1,2013,4,"Bronx County",50,0,0.223684210526316
"5037",127,2,2013,4,"Bronx County",49.4,0,0.263157894736842
"5047",132,3,2013,4,"Bronx County",46.5,0.12,0.201754385964912
"5056",136,4,2013,4,"Bronx County",46.2,0.06,0.214912280701754
"5069",144,5,2013,4,"Bronx County",43.6,0.01,0.315789473684211
"5076",146,6,2013,4,"Bronx County",44.4,1.44,0.157894736842105
"5087",152,7,2013,4,"Bronx County",46.1,0.09,0.197368421052632
"5096",156,1,2013,4,"Bronx County",46.1,0,0.219298245614035
"5106",161,2,2013,4,"Bronx County",46,0,0.245614035087719
"5120",170,3,2013,4,"Bronx County",52.1,0.03,0.232456140350877
"5130",175,4,2013,4,"Bronx County",46.5,0,0.201754385964912
"5137",177,5,2013,4,"Bronx County",52.6,0,0.258771929824561
"5148",183,6,2013,4,"Bronx County",52.7,0.62,0.236842105263158
"5160",190,7,2013,4,"Bronx County",45.1,0.24,0.223684210526316
"5169",194,1,2013,4,"Bronx County",43,0,0.223684210526316
"5178",198,2,2013,4,"Bronx County",44.6,0.11,0.232456140350877
"5189",204,3,2013,4,"Bronx County",47.5,1.77,0.197368421052632
"5207",212,5,2013,4,"Bronx County",49.5,0.06,0.355263157894737
"5218",218,6,2013,4,"Bronx County",46.6,0,0.157894736842105
"5227",222,7,2013,4,"Bronx County",48,0,0.140350877192982
"5235",230,1,2013,4,"Bronx County",49.7,0,0.219298245614035
"5240",235,2,2013,4,"Bronx County",51,0,0.179824561403509
"6455",240,3,2013,5,"Bronx County",49.9,0,0.232456140350877
"6465",245,4,2013,5,"Bronx County",49.9,0,0.25
"6473",248,5,2013,5,"Bronx County",46.9,0,0.285087719298246
"6483",253,6,2013,5,"Bronx County",47.8,0,0.18859649122807
"6491",256,7,2013,5,"Bronx County",47.8,0,0.18859649122807
"6501",261,1,2013,5,"Bronx County",49.2,0,0.241228070175439
"6511",266,2,2013,5,"Bronx County",54.4,0,0.263157894736842
"6521",271,3,2013,5,"Bronx County",59.4,0.01,0.179824561403509
"6532",277,4,2013,5,"Bronx County",57.2,0.01,0.201754385964912
"6544",284,5,2013,5,"Bronx County",56.1,0,0.324561403508772
"6553",288,6,2013,5,"Bronx County",56.2,0,0.223684210526316
"6564",294,7,2013,5,"Bronx County",56.2,1.62,0.210526315789474
"6574",299,1,2013,5,"Bronx County",53.1,0.07,0.263157894736842
"6581",301,2,2013,5,"Bronx County",51,0,0.175438596491228
"6592",307,3,2013,5,"Bronx County",53.1,0.16,0.210526315789474
"6605",315,4,2013,5,"Bronx County",57.7,0.02,0.298245614035088
"6614",319,5,2013,5,"Bronx County",58.2,0,0.390350877192982
"6625",325,6,2013,5,"Bronx County",54.6,0,0.25
"6632",327,7,2013,5,"Bronx County",56.3,0,0.236842105263158
"6644",334,1,2013,5,"Bronx County",57.5,0.33,0.232456140350877
"6651",336,2,2013,5,"Bronx County",58,0.24,0.210526315789474
"6662",342,3,2013,5,"Bronx County",57.8,0,0.267543859649123
"6671",346,4,2013,5,"Bronx County",61.5,0,0.263157894736842
"6685",355,5,2013,5,"Bronx County",61,1.24,0.245614035087719
"6692",357,6,2013,5,"Bronx County",55.6,1.03,0.271929824561404
"6702",362,7,2013,5,"Bronx County",50.2,0.54,0.179824561403509
"6711",1,1,2013,5,"Bronx County",56.9,0.01,0.197368421052632
"6722",7,2,2013,5,"Bronx County",56.6,0,0.346491228070175
"6731",11,3,2013,5,"Bronx County",57.9,0.51,0.214912280701754
"6737",17,4,2013,5,"Bronx County",60.9,0.26,0.258771929824561
"6744",24,5,2013,5,"Bronx County",62,0.02,0.368421052631579
"6809",29,7,2013,6,"Bronx County",61.3,0.01,0.184210526315789
"6817",32,1,2013,6,"Bronx County",63.2,0.03,0.171052631578947
"6829",39,2,2013,6,"Bronx County",60.9,0.07,0.236842105263158
"6837",42,3,2013,6,"Bronx County",62.6,0.06,0.219298245614035
"6848",48,4,2013,6,"Bronx County",60.6,0.1,0.328947368421053
"6858",53,5,2013,6,"Bronx County",62,0.05,0.166666666666667
"6869",59,6,2013,6,"Bronx County",63.4,0,0.285087719298246
"6876",61,7,2013,6,"Bronx County",64.9,0.01,0.140350877192982
"6888",68,1,2013,6,"Bronx County",66.8,0,0.280701754385965
"6898",73,2,2013,6,"Bronx County",69.7,0,0.254385964912281
"6906",76,3,2013,6,"Bronx County",69.5,0,0.267543859649123
"6916",81,4,2013,6,"Bronx County",65.5,0,0.206140350877193
"6930",90,5,2013,6,"Bronx County",66.1,0.85,0.232456140350877
"6933",93,6,2013,6,"Bronx County",66.2,0.26,0.175438596491228
"6940",100,7,2013,6,"Bronx County",65.4,0.05,0.175438596491228
"8010",105,6,2013,6,"Bronx County",60.9,0,0.271929824561404
"8018",108,7,2013,6,"Bronx County",61.8,0,0.197368421052632
"8027",112,1,2013,6,"Bronx County",60.8,0.21,0.289473684210526
"8037",117,2,2013,6,"Bronx County",61.8,0.34,0.263157894736842
"8047",122,3,2013,6,"Bronx County",58.6,0,0.25
"8056",126,4,2013,6,"Bronx County",58.6,0,0.258771929824561
"8068",133,5,2013,6,"Bronx County",56.1,0,0.355263157894737
"8078",138,6,2013,6,"Bronx County",62.3,0.94,0.267543859649123
"8088",143,7,2013,6,"Bronx County",63.6,0.01,0.201754385964912
"8100",150,1,2013,6,"Bronx County",62.2,0,0.228070175438596
"8107",152,2,2013,6,"Bronx County",60.8,1.36,0.25
"8119",159,3,2013,6,"Bronx County",64,0.03,0.285087719298246
"8128",163,4,2013,6,"Bronx County",60.8,0,0.201754385964912
"8140",170,5,2013,6,"Bronx County",55,0.12,0.364035087719298
"8146",171,6,2013,6,"Bronx County",62.4,0.14,0.302631578947368
"8213",178,1,2013,7,"Bronx County",66.7,0.04,0.245614035087719
"8221",181,2,2013,7,"Bronx County",67.7,0.04,0.210526315789474
"8234",189,3,2013,7,"Bronx County",68.7,0.03,0.228070175438596
"8242",192,4,2013,7,"Bronx County",69.8,0.02,0.219298245614035
"8255",200,5,2013,7,"Bronx County",71.6,0.03,0.293859649122807
"8265",205,6,2013,7,"Bronx County",73,0.01,0.328947368421053
"8272",207,7,2013,7,"Bronx County",74.4,0.01,0.210526315789474
"8283",213,1,2013,7,"Bronx County",72.6,0,0.201754385964912
"8291",216,2,2013,7,"Bronx County",72.7,0,0.258771929824561
"8301",221,3,2013,7,"Bronx County",71.1,0,0.214912280701754
"8313",228,4,2013,7,"Bronx County",71.8,0.01,0.271929824561404
"8322",232,5,2013,7,"Bronx County",69.4,0.06,0.258771929824561
"8334",239,6,2013,7,"Bronx County",67.9,0.01,0.232456140350877
"8344",244,7,2013,7,"Bronx County",72.9,0.01,0.232456140350877
"8355",250,1,2013,7,"Bronx County",76.3,0,0.232456140350877
"8361",251,2,2013,7,"Bronx County",77.4,0,0.25
"8372",257,3,2013,7,"Bronx County",72.9,0,0.184210526315789
"8382",262,4,2013,7,"Bronx County",75.6,0,0.232456140350877
"8391",266,5,2013,7,"Bronx County",73.9,0,0.298245614035088
"8404",274,6,2013,7,"Bronx County",74.5,0,0.254385964912281
"8414",279,7,2013,7,"Bronx County",72.8,0.04,0.166666666666667
"8422",282,1,2013,7,"Bronx County",68.3,0.17,0.201754385964912
"8435",290,2,2013,7,"Bronx County",72.1,0,0.271929824561404
"8445",295,3,2013,7,"Bronx County",74.9,0.6,0.228070175438596
"8454",299,4,2013,7,"Bronx County",67.7,0.4,0.18859649122807
"8464",304,5,2013,7,"Bronx County",66.1,2.43,0.241228070175439
"8471",306,6,2013,7,"Bronx County",69.1,0.26,0.206140350877193
"8481",311,7,2013,7,"Bronx County",69.8,0.12,0.210526315789474
"8491",316,1,2013,7,"Bronx County",69.2,0.02,0.285087719298246
"8499",324,2,2013,7,"Bronx County",71.2,0.01,0.236842105263158
"8503",328,3,2013,7,"Bronx County",70.6,0,0.210526315789474
"9888",333,4,2013,8,"Bronx County",68.9,0.01,0.236842105263158
"9899",339,5,2013,8,"Bronx County",69.7,0.03,0.267543859649123
"9907",342,6,2013,8,"Bronx County",69.3,0,0.271929824561404
"9920",350,7,2013,8,"Bronx County",69.4,0.25,0.166666666666667
"9927",352,1,2013,8,"Bronx County",68.1,0,0.228070175438596
"9936",356,2,2013,8,"Bronx County",66.2,0,0.223684210526316
"9947",362,3,2013,8,"Bronx County",64.5,0,0.236842105263158
"9960",5,4,2013,8,"Bronx County",67.8,0,0.171052631578947
"9969",9,5,2013,8,"Bronx County",70.7,0.03,0.228070175438596
"9977",12,6,2013,8,"Bronx County",72.4,0.06,0.166666666666667
"9988",18,7,2013,8,"Bronx County",69.5,0,0.223684210526316
"9996",21,1,2013,8,"Bronx County",68.2,0,0.210526315789474
"10009",29,2,2013,8,"Bronx County",67.8,0,0.166666666666667
"10019",34,3,2013,8,"Bronx County",68.4,0.5,0.267543859649123
"10028",38,4,2013,8,"Bronx County",67.2,0,0.245614035087719
"10036",41,5,2013,8,"Bronx County",67.4,0,0.263157894736842
"10047",47,6,2013,8,"Bronx County",67.3,0,0.140350877192982
"10060",55,7,2013,8,"Bronx County",64.8,0.01,0.201754385964912
"10068",58,1,2013,8,"Bronx County",65.5,0.39,0.214912280701754
"10076",61,2,2013,8,"Bronx County",71,0.01,0.276315789473684
"10087",67,3,2013,8,"Bronx County",70.3,0,0.12719298245614
"10096",71,4,2013,8,"Bronx County",70.5,0.01,0.192982456140351
"10110",80,5,2013,8,"Bronx County",70.6,0,0.276315789473684
"10119",84,6,2013,8,"Bronx County",66.2,0,0.232456140350877
"10129",89,7,2013,8,"Bronx County",64,0,0.184210526315789
"10137",92,1,2013,8,"Bronx County",68.3,0,0.214912280701754
"10147",97,2,2013,8,"Bronx County",68,0.39,0.206140350877193
"10160",105,3,2013,8,"Bronx County",66.4,0.67,0.140350877192982
"10170",110,4,2013,8,"Bronx County",65.7,0,0.206140350877193
"10174",114,5,2013,8,"Bronx County",65,0,0.206140350877193
"10176",116,6,2013,8,"Bronx County",69.4,0,0.171052631578947
"11573",123,7,2013,9,"Bronx County",70.7,0,0.210526315789474
"11581",126,1,2013,9,"Bronx County",70.8,0,0.0921052631578947
"11591",131,2,2013,9,"Bronx County",70.1,0.05,0.18859649122807
"11603",138,3,2013,9,"Bronx County",68.5,0.06,0.245614035087719
"11611",141,4,2013,9,"Bronx County",67.4,0,0.144736842105263
"11624",149,5,2013,9,"Bronx County",60.3,0,0.245614035087719
"11631",151,6,2013,9,"Bronx County",63.6,0,0.271929824561404
"11644",159,7,2013,9,"Bronx County",68,0,0.280701754385965
"11654",164,1,2013,9,"Bronx County",59.8,0,0.232456140350877
"11663",168,2,2013,9,"Bronx County",65.5,0,0.206140350877193
"11672",172,3,2013,9,"Bronx County",69.9,0,0.245614035087719
"11683",178,4,2013,9,"Bronx County",70.2,0,0.254385964912281
"11693",183,5,2013,9,"Bronx County",69.1,0.01,0.267543859649123
"11705",190,6,2013,9,"Bronx County",64.5,0.13,0.210526315789474
"11713",193,7,2013,9,"Bronx County",61.2,0,0.210526315789474
"11721",196,1,2013,9,"Bronx County",62.4,0,0.302631578947368
"11733",203,2,2013,9,"Bronx County",56.1,0.02,0.293859649122807
"11742",207,3,2013,9,"Bronx County",56.1,0,0.245614035087719
"11755",215,4,2013,9,"Bronx County",62.4,0,0.214912280701754
"11764",219,5,2013,9,"Bronx County",62.6,0.01,0.315789473684211
"11773",223,6,2013,9,"Bronx County",63.6,0.01,0.184210526315789
"11781",226,7,2013,9,"Bronx County",66.3,0.24,0.157894736842105
"11791",231,1,2013,9,"Bronx County",57.5,0,0.328947368421053
"11802",237,2,2013,9,"Bronx County",54.5,0,0.223684210526316
"11813",243,3,2013,9,"Bronx County",55.3,0,0.241228070175439
"11822",247,4,2013,9,"Bronx County",56.8,0,0.280701754385965
"11833",253,5,2013,9,"Bronx County",58.1,0,0.223684210526316
"11843",258,6,2013,9,"Bronx County",59.2,0,0.184210526315789
"11850",265,7,2013,9,"Bronx County",54.9,0.01,0.210526315789474
"11853",268,1,2013,9,"Bronx County",59.5,0.01,0.245614035087719
"13255",275,2,2013,10,"Bronx County",62.1,0,0.254385964912281
"13262",277,3,2013,10,"Bronx County",64.8,0.01,0.184210526315789
"13271",281,4,2013,10,"Bronx County",65.8,0,0.223684210526316
"13285",290,5,2013,10,"Bronx County",62.8,0.01,0.293859649122807
"13292",292,6,2013,10,"Bronx County",61.3,0.13,0.197368421052632
"13304",299,7,2013,10,"Bronx County",59.1,0,0.157894736842105
"13313",303,1,2013,10,"Bronx County",65.7,0,0.236842105263158
"13322",307,2,2013,10,"Bronx County",61.5,0.47,0.210526315789474
"13332",312,3,2013,10,"Bronx County",56.4,0.03,0.166666666666667
"13345",320,4,2013,10,"Bronx County",58.4,0,0.149122807017544
"13352",322,5,2013,10,"Bronx County",60.6,0,0.206140350877193
"13361",326,6,2013,10,"Bronx County",58.6,0,0.206140350877193
"13372",332,7,2013,10,"Bronx County",55.1,0,0.162280701754386
"13385",340,1,2013,10,"Bronx County",51.5,0,0.197368421052632
"13394",344,2,2013,10,"Bronx County",53.9,0.01,0.293859649122807
"13403",348,3,2013,10,"Bronx County",57.5,0.01,0.184210526315789
"13415",355,4,2013,10,"Bronx County",59.4,0.01,0.289473684210526
"13425",360,5,2013,10,"Bronx County",62.3,0.01,0.271929824561404
"13431",361,6,2013,10,"Bronx County",57.3,0,0.18859649122807
"13441",1,7,2013,10,"Bronx County",58.3,0.05,0.171052631578947
"13453",8,1,2013,10,"Bronx County",54.4,0,0.241228070175439
"13463",13,2,2013,10,"Bronx County",59.1,0,0.179824561403509
"13474",19,3,2013,10,"Bronx County",52.5,0,0.18859649122807
"13485",25,4,2013,10,"Bronx County",48.4,0.36,0.179824561403509
"13493",28,5,2013,10,"Bronx County",48,0,0.228070175438596
"13501",31,6,2013,10,"Bronx County",49,0,0.201754385964912
"13512",37,7,2013,10,"Bronx County",54.3,0.01,0.210526315789474
"13525",45,1,2013,10,"Bronx County",50.7,0,0.241228070175439
"13535",50,2,2013,10,"Bronx County",47.5,0,0.197368421052632
"13540",55,3,2013,10,"Bronx County",46.8,0,0.149122807017544
"13545",60,4,2013,10,"Bronx County",54.8,0,0.192982456140351
"14771",61,5,2013,11,"Bronx County",62.3,0.01,0.210526315789474
"14785",70,6,2013,11,"Bronx County",57.4,0.14,0.223684210526316
"14792",72,7,2013,11,"Bronx County",49.4,0.05,0.140350877192982
"14802",77,1,2013,11,"Bronx County",42,0,0.307017543859649
"14814",84,2,2013,11,"Bronx County",43.5,0,0.157894736842105
"14824",89,3,2013,11,"Bronx County",46.5,0,0.206140350877193
"14835",95,4,2013,11,"Bronx County",57.8,0.01,0.307017543859649
"14842",97,5,2013,11,"Bronx County",47.1,1.56,0.25
"14853",103,6,2013,11,"Bronx County",41.7,0.03,0.18859649122807
"14865",110,7,2013,11,"Bronx County",52.5,0,0.144736842105263
"14873",113,1,2013,11,"Bronx County",47.1,0.01,0.140350877192982
"14881",116,2,2013,11,"Bronx County",45.7,0,0.315789473684211
"14891",121,3,2013,11,"Bronx County",33.5,0.06,0.271929824561404
"14902",127,4,2013,11,"Bronx County",42.8,0,0.258771929824561
"14911",131,5,2013,11,"Bronx County",53,0,0.223684210526316
"14924",139,6,2013,11,"Bronx County",51.2,0,0.25
"14931",141,7,2013,11,"Bronx County",48.9,0,0.179824561403509
"14941",146,1,2013,11,"Bronx County",55.9,0.23,0.236842105263158
"14954",154,2,2013,11,"Bronx County",47,0.26,0.241228070175439
"14964",159,3,2013,11,"Bronx County",38,0,0.206140350877193
"14974",164,4,2013,11,"Bronx County",39,0,0.153508771929825
"14983",168,5,2013,11,"Bronx County",46.2,0,0.276315789473684
"14994",174,6,2013,11,"Bronx County",47.3,0.08,0.18859649122807
"15001",176,7,2013,11,"Bronx County",30.5,0.01,0.179824561403509
"15011",181,1,2013,11,"Bronx County",27,0,0.307017543859649
"15021",186,2,2013,11,"Bronx County",44.4,0,0.315789473684211
"15033",193,3,2013,11,"Bronx County",53.3,0.15,0.254385964912281
"15044",199,4,2013,11,"Bronx County",40.1,1.86,0.197368421052632
"15047",202,5,2013,11,"Bronx County",31.2,0,0.157894736842105
"15052",207,6,2013,11,"Bronx County",31.3,0,0.197368421052632
"16267",212,7,2013,12,"Bronx County",43.1,0,0.12719298245614
"16280",220,1,2013,12,"Bronx County",44,0.07,0.236842105263158
"16288",223,2,2013,12,"Bronx County",41.8,0,0.25
"16300",230,3,2013,12,"Bronx County",39.8,0,0.135964912280702
"16306",231,4,2013,12,"Bronx County",43.4,0,0.219298245614035
"16316",236,5,2013,12,"Bronx County",50.6,0,0.307017543859649
"16330",245,6,2013,12,"Bronx County",39.7,0.51,0.192982456140351
"16337",247,7,2013,12,"Bronx County",34,0.28,0.114035087719298
"16350",255,1,2013,12,"Bronx County",40.8,0.13,0.236842105263158
"16356",256,2,2013,12,"Bronx County",38.8,0.2,0.162280701754386
"16366",261,3,2013,12,"Bronx County",31.8,0.19,0.258771929824561
"16377",267,4,2013,12,"Bronx County",28.1,0,0.241228070175439
"16388",273,5,2013,12,"Bronx County",28.1,0,0.293859649122807
"16397",277,6,2013,12,"Bronx County",26.9,0,0.276315789473684
"16408",283,7,2013,12,"Bronx County",40,0.87,0.18859649122807
"16416",286,1,2013,12,"Bronx County",32,0.83,0.25
"16427",292,2,2013,12,"Bronx County",28.6,0,0.289473684210526
"16439",299,3,2013,12,"Bronx County",35.4,0.15,0.219298245614035
"16450",305,4,2013,12,"Bronx County",39.1,0,0.210526315789474
"16456",306,5,2013,12,"Bronx County",42.5,0,0.241228070175439
"16467",312,6,2013,12,"Bronx County",47.6,0,0.302631578947368
"16478",318,7,2013,12,"Bronx County",51.9,0.01,0.192982456140351
"16490",325,1,2013,12,"Bronx County",48.7,0,0.258771929824561
"16496",326,2,2013,12,"Bronx County",38.4,0.5,0.210526315789474
"16510",335,3,2013,12,"Bronx County",26.2,0.06,0.0964912280701754
"16520",340,4,2013,12,"Bronx County",33.3,0,0.153508771929825
"16526",341,5,2013,12,"Bronx County",33.1,0.22,0.206140350877193
"16540",350,6,2013,12,"Bronx County",39.3,0,0.223684210526316
"16546",351,7,2013,12,"Bronx County",43.2,0,0.149122807017544
"16555",360,1,2013,12,"Bronx County",42.5,0.75,0.214912280701754
"16558",363,2,2013,12,"Bronx County",28.5,0,0.236842105263158
"986",366,3,2014,1,"Bronx County",28.2,0,0.155339805825243
"1000",375,4,2014,1,"Bronx County",31.1,0,0.237864077669903
"1010",380,5,2014,1,"Bronx County",24.2,0.15,0.257281553398058
"1019",384,6,2014,1,"Bronx County",18.8,0.01,0.174757281553398
"1028",388,7,2014,1,"Bronx County",37.8,0,0.106796116504854
"1040",395,1,2014,1,"Bronx County",46.3,0.04,0.20873786407767
"1046",396,2,2014,1,"Bronx County",23.9,0.12,0.203883495145631
"1056",401,3,2014,1,"Bronx County",18.2,0,0.223300970873786
"1066",406,4,2014,1,"Bronx County",23.5,0,0.262135922330097
"1079",414,5,2014,1,"Bronx County",28.8,0,0.354368932038835
"1089",419,6,2014,1,"Bronx County",44.8,0,0.213592233009709
"1096",421,7,2014,1,"Bronx County",45.1,1.6,0.0970873786407767
"1108",428,1,2014,1,"Bronx County",38.6,0.01,0.271844660194175
"1116",431,2,2014,1,"Bronx County",45.5,0,0.242718446601942
"1130",440,3,2014,1,"Bronx County",41.1,0.62,0.359223300970874
"1140",445,4,2014,1,"Bronx County",40.8,0,0.155339805825243
"1149",449,5,2014,1,"Bronx County",38.6,0,0.184466019417476
"1158",453,6,2014,1,"Bronx County",38.8,0,0.194174757281553
"1169",459,7,2014,1,"Bronx County",36.1,0.04,0.145631067961165
"1178",463,1,2014,1,"Bronx County",41,0,0.131067961165049
"1187",467,2,2014,1,"Bronx County",29.2,0,0.669902912621359
"1196",471,3,2014,1,"Bronx County",25,0.01,0.135922330097087
"1209",479,4,2014,1,"Bronx County",16.5,0,0.276699029126214
"1220",485,5,2014,1,"Bronx County",14.8,0,0.315533980582524
"1227",487,6,2014,1,"Bronx County",32,0,0.199029126213592
"1239",494,7,2014,1,"Bronx County",26.8,0.03,0.296116504854369
"1249",499,1,2014,1,"Bronx County",38.8,0,0.247572815533981
"1259",504,2,2014,1,"Bronx County",22.2,0,0.242718446601942
"1268",508,3,2014,1,"Bronx County",20.3,0.02,0.315533980582524
"1275",515,4,2014,1,"Bronx County",22,0.01,0.237864077669903
"1278",518,5,2014,1,"Bronx County",33.7,0,0.305825242718447
"1400",525,4,2014,2,"Bronx County",24.7,0,0.174757281553398
"1403",528,5,2014,2,"Bronx County",20.3,0,0.368932038834951
"2411",531,6,2014,2,"Bronx County",35.6,0,0.252427184466019
"2425",540,7,2014,2,"Bronx County",39.3,0.1,0.223300970873786
"2433",543,1,2014,2,"Bronx County",36.5,0.06,0.5
"2443",548,2,2014,2,"Bronx County",32.5,0.61,0.29126213592233
"2455",555,3,2014,2,"Bronx County",32.3,0.1,0.262135922330097
"2463",558,4,2014,2,"Bronx County",30.4,0.56,0.223300970873786
"2473",563,5,2014,2,"Bronx County",28.1,0,0.315533980582524
