"","day","temp","wdsp","NUM_TRIPS"
"118",2,60.6,12.8,0.788448973163875
"119",3,50.5,10.6,0.825610422160494
"120",4,45,5.2,0.865985236612932
"121",5,52.1,13,0.898939823951803
"122",6,52.7,8.3,0.854733431398501
"123",7,48.2,4.6,0.771794089954128
"124",1,49.9,2.9,0.774377515153749
"125",2,50.4,8,0.867442811141901
"126",3,50.4,5.5,0.866918419386076
"127",4,57.6,10.7,0.877198508247861
"128",5,61.9,7,0.88278085115651
"129",6,58.9,6.7,0.839931510750869
"130",7,63.1,14.3,0.708471691222051
"131",1,53.6,7.4,0.729036895064686
"132",2,53.4,3,0.791566842357451
"133",3,52.9,4.1,0.842424465807312
"134",4,57.3,10.1,0.891760850553376
"135",5,60.8,11.1,0.896095040560781
"136",6,60.6,5.5,0.882165989257508
"137",7,62.6,9.6,0.765240030692834
"138",1,49.6,7.6,0.783478141408185
"139",2,49.9,3.8,0.826149892273515
"140",3,61.4,8.1,0.844488525370174
"141",4,66.2,13,0.866665438059784
"142",5,66.3,12.3,0.830876119568022
"143",6,60.6,6.8,0.676364842632212
"146",2,54.4,9.4,0.744637968643719
"147",3,52,5.3,0.803961251972752
"148",4,52.5,8.9,0.869520273688937
"149",5,57.2,4.5,0.877806668654776
"150",6,66.4,6.3,0.810223796328252
"151",7,64.7,7.5,0.685813946475183
"153",2,62.1,8.5,0.789486029064371
"154",3,61.6,4.3,0.84761644680188
"155",4,59.9,4.8,0.873753941315034
"156",5,58,5.2,0.924432299851562
"157",6,58.2,9,0.773714067437115
"158",7,67.6,8.4,0.70363991542717
"159",1,64.2,4.9,0.643760408254898
"160",2,57.5,5.4,0.80709084877748
"161",3,59.7,5.8,0.854389979929031
"162",4,59.2,6.4,0.883568276476758
"163",5,66.6,6.7,0.888328011231701
"164",6,67.1,4.6,0.81354773640351
"165",7,62.4,5.6,0.668458757342322
"166",1,59.1,5.8,0.72932840997048
"167",2,57.2,7.8,0.798938483653385
"168",3,58.7,3.3,0.847954872152285
"169",4,62.3,5.3,0.894722910055924
"170",5,68.2,9.3,0.872376784691111
"171",6,68.4,3.6,0.820949534413837
"172",7,62.2,10.6,0.676497197100934
"173",1,59.2,17.7,0.700001005223813
"174",2,60.1,17.4,0.79067386853683
"175",3,61.1,5.6,0.832889917940229
"176",4,65.5,3.4,0.865097288911376
"177",5,68.8,7.5,0.874661993492851
"178",6,71.6,5.3,0.791809771445612
"179",7,65.9,6.5,0.692220572910558
"180",1,66.6,5.8,0.722260011191492
"181",2,67.4,3.3,0.772405601107086
"182",3,66.9,5.6,0.665823395579026
"183",4,67.6,5.7,0.769359772953448
"188",2,66,5.2,0.701262561109231
"189",3,64.3,7,0.754837639600457
"190",4,61.8,9.4,0.815966975046994
"191",5,61,3.6,0.806221330179164
"192",6,63,4.9,0.742052868071076
"193",7,67.8,7.9,0.633706494751056
"194",1,67,7.9,0.66563240305454
"195",2,68.1,6.2,0.758773090828673
"196",3,68.4,7.9,0.812993187933293
"197",4,71,10.6,0.836148518467637
"198",5,75.5,6.9,0.865209538903837
"199",6,74.7,8.4,0.7352927379281
"200",7,71.5,6.8,0.655789586551446
"201",1,70.2,3.4,0.688429203762218
"202",2,68.6,6.3,0.800504957428771
"203",3,72.7,6.4,0.814452437835284
"204",4,67.2,4.1,0.842029077774166
"205",5,66,10.3,0.820842310540442
"206",6,70.4,6.6,0.753319751642703
"207",7,72.9,8.3,0.687313405329697
"208",1,74.8,11.2,0.706317161516012
"209",2,73.5,7.3,0.78677192476905
"210",3,74.5,8.9,0.819508713615086
"211",4,76.2,12.5,0.846601170750668
"212",5,74.1,7.9,0.834377649183591
"213",6,72.5,3.6,0.735192215546791
"214",7,71.1,5.7,0.660427019075797
"215",1,74.8,5.5,0.699345934372288
"216",2,73.7,5.9,0.780311686396976
"217",3,74.3,10,0.817225180186368
"218",4,70.8,4.8,0.825509899779186
"219",5,70,5.5,0.813941449063634
"220",6,64.9,4.2,0.700748221591537
"222",1,75,7.7,0.699704464198954
"223",2,76.5,3.8,0.766851739539809
"224",3,68.2,6.6,0.779963208808441
"225",4,66.5,7.9,0.825900261693266
"226",5,68.2,4,0.824353892394142
"227",6,72.5,5.4,0.742366162826153
"228",7,75.3,6.5,0.672020600386676
"229",1,74.2,7.5,0.703313217687918
"230",2,76.5,7.5,0.778395059660033
"231",3,76.8,8.9,0.789506133540633
"232",4,76.8,4.5,0.835190205099165
"233",5,79.8,9.3,0.814501023652916
