"","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"3",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.0570175438596491
"8",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,8,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.0657894736842105
"14",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.0921052631578947
"19",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,19,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.0833333333333333
"25",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,25,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.0657894736842105
"29",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,29,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.0833333333333333
"35",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,35,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.109649122807018
"37",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,37,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.0921052631578947
"44",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,44,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.109649122807018
"48",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,48,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.114035087719298
"52",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,52,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.100877192982456
"58",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,58,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.0614035087719298
"61",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,61,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.0833333333333333
"69",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69,69,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.109649122807018
"72",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72,72,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.087719298245614
"77",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77,77,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.0745614035087719
"85",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,85,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.0964912280701754
"89",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,89,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.118421052631579
"93",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93,93,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.0701754385964912
"100",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,100,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.0526315789473684
"101",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,101,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.0789473684210526
"110",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,110,110,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.140350877192982
"114",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,114,114,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.0614035087719298
"116",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116,116,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.118421052631579
"125",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,125,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.175438596491228
"127",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,127,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.100877192982456
"132",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,132,132,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.0482456140350877
"140",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140,140,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.109649122807018
"142",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,142,142,2013,35.4,34.9,1019,2.6,4.9,999.9,37.4,33.1,0.08,0,1,0.0833333333333333
"150",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,150,150,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.100877192982456
"151",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,151,151,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.087719298245614
"159",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,159,2013,33.1,15.5,1007,10,18.2,38.1,39.9,30,0.23,0,0,0.0921052631578947
"163",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163,163,2013,27.6,10.4,1020.9,10,12.5,26,35.1,21.9,0,0,0,0.0614035087719298
"170",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,170,170,2013,30.7,24.5,1012,8.2,9.8,22.9,36,25,0.01,0,0,0.0701754385964912
"174",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174,174,2013,29,16.9,1008.3,8.8,15.5,28,30.9,26.6,0,0,0,0.12719298245614
"180",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,180,180,2013,28.7,16.6,1014.6,7.8,8.2,18.1,32,27,0,0,0,0.118421052631579
"184",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,184,184,2013,34.8,30.4,1014.9,9,6.1,17.1,39.2,32,0.02,0,0,0.162280701754386
"189",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,189,189,2013,29.4,13.4,1028.7,10,10.2,19,35.1,25,0,0,0,0.0482456140350877
"195",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,195,195,2013,34.3,28.5,1026,7.3,16.3,51.1,37.9,26.1,0,0,0,0.105263157894737
"200",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,200,2013,29.2,25.8,997.4,1.2,35.3,63.9,37.4,23,1.64,0,1,0.0921052631578947
"204",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,204,204,2013,24.7,14.7,1024.4,8.9,16.4,36.9,34,21,0.06,0,0,0.0833333333333333
"207",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,207,207,2013,36.4,32,1022.1,7.6,9.8,28.9,48,24.1,0,0,0,0.0789473684210526
"211",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,211,211,2013,41.4,36.6,1006.1,6.5,11.9,27,45,36,0.36,0,1,0.109649122807018
"219",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,219,219,2013,36.1,25.2,1010.6,10,7.7,999.9,41,26.1,0,0,0,0.140350877192982
"224",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,224,224,2013,36.6,29.3,1010.5,8.4,8.9,21,43,28,0.11,0,0,0.114035087719298
"226",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,226,226,2013,38.6,33.2,1017,9.8,6,999.9,46.9,28,0,0,0,0.100877192982456
"233",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,233,233,2013,39.2,35.8,1012.3,9.2,8.6,21,44.1,34,0,0,1,0.0745614035087719
"236",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,236,236,2013,30.9,25.6,998.1,4.2,23.6,49.9,39,23,0.01,0,1,0.0833333333333333
"242",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,242,242,2013,24.6,7.6,1010.5,9.3,22,36.9,32,19,0,0,0,0.0921052631578947
"247",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,247,247,2013,36.7,25.4,1019,10,10.6,26,46,30,0,0,0,0.0657894736842105
"251",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,251,251,2013,38.7,28.9,1004.5,8.5,16.9,35.9,46.9,30.9,0.65,0,0,0.140350877192982
"256",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,256,256,2013,30.6,14.1,1009.7,10,17.3,29.9,36,28,0.03,0,0,0.105263157894737
"262",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262,262,2013,35.4,25.4,1022.3,9.8,14.2,28.9,39.9,30.9,0,0,1,0.0657894736842105
"269",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,269,269,2013,36.3,29.8,1022.9,9.7,7,999.9,41,30.9,0,0,0,0.118421052631579
"271",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,271,271,2013,42.6,40.7,1004.7,4.3,17.1,38.1,46.9,37.9,1.07,0,0,0.0614035087719298
"280",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,280,280,2013,37.5,30.4,1015.7,8.3,13.4,24.1,43,33.8,0.75,0,0,0.0789473684210526
"283",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,283,283,2013,35,26.7,1025.2,10,5,15.9,45,27,0.02,0,0,0.0964912280701754
"289",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,289,289,2013,44.1,41,1014.7,5.9,18,40,46.9,39,0.24,0,1,0.105263157894737
"295",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,295,295,2013,41.4,38.9,1002.1,7.2,7.8,999.9,46.9,39,0.32,0,1,0.043859649122807
"298",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,298,298,2013,39.3,34.2,1000.8,9.4,10.6,24.1,43,37,0.08,0,0,0.12280701754386
"303",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,303,303,2013,38.2,29.1,1004,10,9.4,15,42.1,36,0,0,0,0.0614035087719298
"306",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,306,306,2013,37.4,29.3,1002.6,10,7.1,999.9,39.9,36,0,0,0,0.0789473684210526
"312",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,312,312,2013,37,26.4,1002.1,10,11.5,25.1,43,32,0,0,0,0.157894736842105
"317",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,317,317,2013,38.5,29.8,1009.5,9.9,14.9,27,43,35.1,0,0,0,0.087719298245614
"322",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,322,322,2013,39.1,34.2,1014.7,9.4,13.5,39,43,32,0.02,0,0,0.0482456140350877
"327",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,327,327,2013,38.3,35.2,1008.2,4.1,31.6,55,41,33.8,0.8,0,0,0.135964912280702
"334",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,334,334,2013,37.4,35.2,1008.1,3.3,28.4,45.1,41,36,1.58,0,0,0.179824561403509
"337",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,337,337,2013,39.2,31.7,1018.9,9.9,24.9,42.9,42.1,37.4,0.4,0,0,0.135964912280702
"343",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,343,343,2013,39,31.7,1026.9,10,11.9,25.1,43,36,0,0,0,0.0570175438596491
"348",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,348,348,2013,39.9,34.7,1026.1,10,6.5,999.9,45,36,0,0,0,0.0745614035087719
"352",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,352,352,2013,46,43.9,1018.9,7.5,13.1,26,50,41,0,0,0,0.0614035087719298
"358",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,358,358,2013,46.3,41.1,1007.6,7.1,13.1,26,50,41,0.54,0,0,0.105263157894737
"363",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,363,363,2013,37,25.3,1007.7,9.7,10.4,26,44.1,30,0.49,0,0,0.0833333333333333
"368",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2013,31.2,13.7,1009.1,10,18.5,36.9,39,25,0,0,0,0.118421052631579
"375",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,10,2013,37.1,22,1008.1,10,10.2,25.1,41,34,0,0,0,0.087719298245614
"376",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,11,2013,34.8,21.5,1014.7,9.9,7.5,20,39.9,28,0,0,0,0.0614035087719298
"383",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,18,2013,32.1,15.5,1027.6,10,9,20,37,26.1,0,0,0,0.131578947368421
"390",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,25,2013,39.6,35.5,1012.4,4.6,16.5,33,46.9,33.1,0.41,0,1,0.105263157894737
"394",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,29,2013,36.5,25.7,1007.3,10,17.9,32.1,42.1,32,0.35,0,0,0.118421052631579
"400",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,35,2013,38.3,29.9,1006.7,9.8,10.9,27,45,28,0,0,0,0.105263157894737
"403",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,38,2013,34.3,27.6,1003.8,6.8,13.6,26,39,30,0.23,0,0,0.105263157894737
"408",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,43,2013,38.5,21.7,1006.3,10,15.9,39,45,32,0.02,0,0,0.087719298245614
"411",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,46,2013,39.1,23.3,1008.5,10,10.4,22,45,34,0,0,0,0.0614035087719298
"420",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,55,2013,38.1,29.8,1003.3,10,9.7,28,46.9,32,0,0,0,0.087719298245614
"422",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,57,57,2013,39.8,28.7,1002.7,9.7,15.5,34,46.9,35.1,0.05,0,0,0.087719298245614
"429",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,64,64,2013,41.7,30.3,1008.3,10,9.4,22.9,50,34,0.01,0,0,0.0570175438596491
"431",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,66,2013,42.5,34.5,1011.7,9.9,12.5,25.1,50,37.9,0.02,0,0,0.0789473684210526
"439",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,74,2013,45.2,34.3,1016.4,10,8.9,20,54,39,0.02,0,0,0.0614035087719298
"443",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,78,2013,44.5,35.1,1017.4,10,7,17.1,52,37.9,0.02,0,0,0.0833333333333333
"449",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84,84,2013,43,38.1,1019.2,10,7.1,999.9,48.9,33.1,0,0,0,0.0175438596491228
"451",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,86,2013,47,42.9,1005.8,6.8,16.3,34,51.1,44.1,0.18,0,0,0.0833333333333333
"459",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,94,94,2013,39.6,18.8,1011.4,9.9,17.2,33,51.1,32,0.02,0,0,0.100877192982456
"464",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,99,99,2013,42.6,15.7,1015.8,10,17,34,51.1,33.8,0,0,0,0.12280701754386
"466",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,101,2013,39,18.8,1023.2,10,14,28,45,34,0,0,0,0.0964912280701754
"473",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108,108,2013,42.9,38.5,1014.7,8.7,8,22,48,39,0.01,0,0,0.087719298245614
"478",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,113,2013,40.2,22,1018.3,10,12.5,28.9,45,35.1,0.33,0,0,0.0701754385964912
"485",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,120,2013,39.7,28.6,1025.8,10,9.2,999.9,48,26.1,0,0,0,0.0614035087719298
"489",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,124,124,2013,50,41.6,1018.1,9.1,9.4,999.9,62.1,42.1,0,0,0,0.12280701754386
"494",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,129,129,2013,49.4,43.4,1015.9,6.7,10.7,28,63,39.9,0,0,1,0.0964912280701754
"496",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131,131,2013,46.5,42,1014.1,7.6,8.8,17.1,54,41,0.12,0,1,0.105263157894737
"502",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,137,2013,46.2,41,1013.7,6.6,10,26,52,42.8,0.06,0,1,0.0526315789473684
"507",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,142,2013,43.6,35.7,1018.6,7.7,13.8,35.9,51.8,39.2,0.01,0,0,0.135964912280702
"514",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149,149,2013,44.4,39.7,1008.2,8.2,12.9,33,53.6,39,1.44,0,1,0.12280701754386
"520",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155,155,2013,46.1,38.4,1015.5,9.6,7.7,999.9,55.9,39,0.09,0,0,0.0482456140350877
"523",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158,158,2013,46.1,34.2,1026,10,8.1,999.9,53.1,39,0,0,0,0.0833333333333333
"528",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,163,163,2013,46,40.5,1028.7,10,9.3,999.9,53.1,37.9,0,0,0,0.12280701754386
"534",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,169,169,2013,52.1,42.7,1021.9,8.3,11,22.9,60.1,44.1,0.03,0,0,0.087719298245614
"537",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172,172,2013,46.5,37.3,1028.1,10,8.8,24.1,54,35.1,0,0,0,0.087719298245614
"545",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,180,2013,52.6,49.4,1018.1,4.6,12.5,29.9,59,46,0,0,1,0.0921052631578947
"549",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184,184,2013,52.7,49.6,1012.4,3.6,15.2,39,57.2,46.9,0.62,0,1,0.0526315789473684
"551",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186,186,2013,45.1,28.5,1029.4,10,11.7,22,48.9,39,0.24,0,0,0.0526315789473684
"557",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192,192,2013,43,29.8,1037.8,10,11.3,25.1,50,34,0,0,0,0.0833333333333333
"564",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,199,199,2013,44.6,40,1026.9,5.1,15,28.9,46.4,42.1,0.11,0,0,0.105263157894737
"566",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,201,201,2013,47.5,43.6,1012.9,7,19.2,36.9,52,44.6,1.77,0,0,0.149122807017544
"572",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,207,207,2013,50.8,45.1,1017.9,7.2,10.4,20,55.9,45,0.01,0,0,0.087719298245614
"576",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,211,211,2013,49.5,37.8,1026.9,9.5,6.5,999.9,61,37.9,0.06,0,0,0.109649122807018
"584",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,219,219,2013,46.6,34.7,1029.1,8.6,3.9,999.9,55.9,35.1,0,0,1,0.100877192982456
"588",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223,223,2013,48,38.5,1027.1,9.8,3.9,999.9,57,37,0,0,0,0.0394736842105263
"591",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226,226,2013,49.7,37.9,1025.5,9.9,4.3,999.9,59,39.9,0,0,0,0.144736842105263
"597",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,232,232,2013,51,30.2,1026.2,10,5.2,999.9,63,39.9,0,0,0,0.140350877192982
"602",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,237,237,2013,49.9,41.4,1030.2,7.4,7,999.9,60.8,39.9,0,0,1,0.144736842105263
"607",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,242,242,2013,49.9,42,1030.3,9.5,5,20,62.1,37.9,0,0,0,0.162280701754386
"614",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,249,249,2013,46.9,39.7,1030,9.9,13.7,29.9,53.1,37.9,0,0,0,0.144736842105263
"620",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,255,2013,47.8,38.7,1026.5,10,13.7,31.1,54,43,0,0,0,0.0701754385964912
"624",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259,259,2013,47.8,39.9,1025.3,9.7,10.1,20,55.9,42.1,0,0,0,0.0789473684210526
"629",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,264,264,2013,49.2,43.4,1024.3,5.1,5.5,999.9,61,44.1,0,0,1,0.0964912280701754
"633",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,268,268,2013,54.4,49.9,1021.9,4.4,4.5,999.9,66.9,46,0,0,1,0.100877192982456
"639",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,274,274,2013,59.4,54.7,1021.5,7.5,10.5,22,72,53.1,0.01,0,1,0.0921052631578947
"643",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,278,278,2013,57.2,53.6,1015.2,5,6.2,999.9,62.6,53.6,0.01,0,1,0.114035087719298
"648",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,283,283,2013,56.1,51,1014.8,5.7,8.3,999.9,66,51.1,0,0,1,0.153508771929825
"651",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,286,286,2013,56.2,53.1,1013.1,3.7,9.4,22.9,62.1,52,0,0,1,0.109649122807018
"658",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,293,293,2013,56.2,53.1,1005.6,3.3,11,22.9,59,54,1.62,0,1,0.0526315789473684
"663",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,298,298,2013,53.1,37.1,1013.5,9.9,11.9,22,57,46,0.07,0,0,0.100877192982456
"668",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,303,303,2013,51,35.3,1015.8,9.8,11.8,29.9,55.9,42.8,0,0,0,0.105263157894737
"674",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,309,309,2013,53.1,44.5,1016.5,10,12.1,28,59,48,0.16,0,0,0.12280701754386
"677",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,312,312,2013,57.7,50.1,1006.9,7.1,12.5,28,64.9,53.1,0.02,0,0,0.0745614035087719
"683",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,318,318,2013,58.2,43.9,1013.8,9.9,10.7,22.9,64,51.1,0,0,0,0.109649122807018
"687",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,322,322,2013,54.6,45.2,1025.3,10,5.1,999.9,64,44.1,0,0,0,0.0657894736842105
"693",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,328,328,2013,56.3,49.4,1027.4,9.3,6.6,999.9,63,46.9,0,0,0,0.135964912280702
"696",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,331,331,2013,57.5,54.5,1020.4,2.9,10.3,22,62.1,55,0.33,0,1,0.109649122807018
"702",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,337,337,2013,58,55.5,1014.3,0.3,7.8,999.9,61,55.4,0.24,0,1,0.162280701754386
"706",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,341,341,2013,57.8,55.1,1013.8,2.5,7.1,17.1,64,53.1,0,0,1,0.0964912280701754
"713",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,348,348,2013,61.5,57.6,1015.1,3,13.3,24.1,66.9,57,0,0,1,0.149122807017544
"716",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,351,351,2013,61,58.7,1009.8,2.1,14,39,64,57.2,1.24,0,1,0.140350877192982
"725",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,360,360,2013,55.6,52.3,1005.9,4.6,7.6,18.1,61,51.8,1.03,0,1,0.0614035087719298
"726",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,361,361,2013,50.2,41.8,1010.9,9.3,13.9,28,57,44.6,0.54,0,0,0.087719298245614
"733",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2013,56.9,42.8,1020,10,14.1,26,64,51.1,0.01,0,0,0.0701754385964912
