"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"905",99,4,2013,4,50.8,7.2,10.4,0.4453125
"911",100,7,2013,4,45.1,10,11.7,0.2265625
"912",101,3,2013,4,46.5,7.6,8.8,0.439453125
"913",102,2,2013,4,46,10,9.3,0.408203125
"926",103,3,2013,4,52.1,8.3,11,0.3515625
"932",104,5,2013,4,42.9,8.7,8,0.443359375
"937",105,7,2013,4,39.7,10,9.2,0.1875
"940",106,4,2013,4,46.5,10,8.8,0.38671875
"964",107,4,2013,4,46.2,6.6,10,0.31640625
"972",108,5,2013,4,52.6,4.6,12.5,0.419921875
"976",109,4,2013,4,39,10,14,0.412109375
"977",110,2,2013,4,49.4,6.7,10.7,0.50390625
"980",111,1,2013,4,43,10,11.3,0.41015625
"988",112,6,2013,4,40.2,10,12.5,0.34375
"1009",113,2,2013,4,44.6,5.1,15,0.30859375
"1023",114,2,2013,4,39.6,9.9,17.2,0.16015625
"1027",115,6,2013,4,44.4,8.2,12.9,0.390625
"1041",116,6,2013,4,52.7,3.6,15.2,0.345703125
"1043",117,3,2013,4,42.6,10,17,0.345703125
"1048",118,5,2013,4,43.6,7.7,13.8,0.57421875
"1052",119,1,2013,4,47,6.8,16.3,0.2421875
"1062",120,3,2013,4,47.5,7,19.2,0.474609375
"1112",121,2,2013,5,54.4,4.4,4.5,0.462890625
"1117",122,1,2013,5,49.2,5.1,5.5,0.40234375
"1126",123,3,2013,5,49.9,7.4,7,0.431640625
"1137",124,2,2013,5,56.6,9.9,6.4,0.646484375
"1149",125,7,2013,5,56.3,9.3,6.6,0.369140625
"1152",126,6,2013,5,54.6,10,5.1,0.294921875
"1157",127,5,2013,5,62,6.7,9,0.744140625
"1161",128,3,2013,5,57.8,2.5,7.1,0.419921875
"1168",129,5,2013,5,56.1,5.7,8.3,0.669921875
"1175",130,2,2013,5,58,0.3,7.8,0.66796875
"1178",131,4,2013,5,49.9,9.5,5,0.44921875
"1183",132,4,2013,5,57.2,5,6.2,0.482421875
"1201",133,4,2013,5,60.9,6.1,11.6,0.64453125
"1209",134,6,2013,5,55.6,4.6,7.6,0.310546875
"1213",135,7,2013,5,47.8,9.7,10.1,0.3125
"1235",136,3,2013,5,59.4,7.5,10.5,0.517578125
"1252",137,6,2013,5,56.2,3.7,9.4,0.328125
"1259",138,7,2013,5,56.2,3.3,11,0.3359375
"1271",139,1,2013,5,57.5,2.9,10.3,0.58984375
"1289",140,4,2013,5,61.5,3,13.3,0.7421875
