"","day_index","day","year","temp","prcp","NUM_COLLISIONS"
"3006",688,4,2014,45.7,0.03,0.649553571428571
"2565",1373,1,2016,60.5,0,0.2465483234714
"2320",613,7,2014,63.3,0,0.375
"3274",2183,7,2018,36.7,0.02,0.318345323741007
"758",454,1,2014,37.8,0.29,0.479910714285714
"1131",852,6,2015,54.3,0,0.447852760736196
"970",1931,1,2018,46.2,0.07,0.589928057553957
"1686",2011,5,2018,64.3,0,0.669064748201439
"1777",1287,4,2016,70.4,0,0.72189349112426
"1765",2022,7,2018,70.8,0,0.422661870503597
