"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"873",3,97,2013,4,50,9.1,9.4,0.443359375
"879",2,98,2013,4,46.1,9.6,7.7,0.228515625
"905",6,99,2013,4,50.8,7.2,10.4,0.4453125
"911",2,100,2013,4,45.1,10,11.7,0.2265625
"912",5,101,2013,4,46.5,7.6,8.8,0.439453125
"913",4,102,2013,4,46,10,9.3,0.408203125
"926",5,103,2013,4,52.1,8.3,11,0.3515625
"932",7,104,2013,4,42.9,8.7,8,0.443359375
"937",2,105,2013,4,39.7,10,9.2,0.1875
"940",6,106,2013,4,46.5,10,8.8,0.38671875
"964",6,107,2013,4,46.2,6.6,10,0.31640625
"972",7,108,2013,4,52.6,4.6,12.5,0.419921875
"976",6,109,2013,4,39,10,14,0.412109375
"977",4,110,2013,4,49.4,6.7,10.7,0.50390625
"980",3,111,2013,4,43,10,11.3,0.41015625
"988",1,112,2013,4,40.2,10,12.5,0.34375
"1009",4,113,2013,4,44.6,5.1,15,0.30859375
"1023",4,114,2013,4,39.6,9.9,17.2,0.16015625
"1027",1,115,2013,4,44.4,8.2,12.9,0.390625
"1041",1,116,2013,4,52.7,3.6,15.2,0.345703125
"1043",5,117,2013,4,42.6,10,17,0.345703125
"1048",7,118,2013,4,43.6,7.7,13.8,0.57421875
"1052",3,119,2013,4,47,6.8,16.3,0.2421875
"1062",5,120,2013,4,47.5,7,19.2,0.474609375
"1112",4,121,2013,5,54.4,4.4,4.5,0.462890625
"1117",3,122,2013,5,49.2,5.1,5.5,0.40234375
"1126",5,123,2013,5,49.9,7.4,7,0.431640625
"1137",4,124,2013,5,56.6,9.9,6.4,0.646484375
"1149",2,125,2013,5,56.3,9.3,6.6,0.369140625
"1152",1,126,2013,5,54.6,10,5.1,0.294921875
"1157",7,127,2013,5,62,6.7,9,0.744140625
"1161",5,128,2013,5,57.8,2.5,7.1,0.419921875
"1168",7,129,2013,5,56.1,5.7,8.3,0.669921875
"1175",4,130,2013,5,58,0.3,7.8,0.66796875
"1178",6,131,2013,5,49.9,9.5,5,0.44921875
"1183",6,132,2013,5,57.2,5,6.2,0.482421875
"1201",6,133,2013,5,60.9,6.1,11.6,0.64453125
"1209",1,134,2013,5,55.6,4.6,7.6,0.310546875
"1213",2,135,2013,5,47.8,9.7,10.1,0.3125
"1235",5,136,2013,5,59.4,7.5,10.5,0.517578125
"1252",1,137,2013,5,56.2,3.7,9.4,0.328125
"1259",2,138,2013,5,56.2,3.3,11,0.3359375
"1271",3,139,2013,5,57.5,2.9,10.3,0.58984375
"1289",6,140,2013,5,61.5,3,13.3,0.7421875
"1291",3,141,2013,5,53.1,9.9,11.9,0.43359375
"1295",4,142,2013,5,51,9.8,11.8,0.41015625
"1310",2,143,2013,5,50.2,9.3,13.9,0.1953125
"1314",5,144,2013,5,57.9,4.9,10.9,0.427734375
"1318",3,145,2013,5,56.9,10,14.1,0.126953125
"1320",7,146,2013,5,58.2,9.9,10.7,0.75390625
"1321",6,147,2013,5,57.7,7.1,12.5,0.3984375
"1325",5,148,2013,5,53.1,10,12.1,0.345703125
"1330",1,149,2013,5,47.8,10,13.7,0.439453125
"1334",7,150,2013,5,46.9,9.9,13.7,0.646484375
"1357",7,151,2013,5,61,2.1,14,0.611328125
"1418",3,152,2013,6,62.2,9.3,6,0.525390625
"1419",5,153,2013,6,58.6,9.8,5.7,0.4765625
"1434",7,154,2013,6,62,10,8.3,0.654296875
"1466",4,155,2013,6,60.9,3.1,4.9,0.50390625
"1469",6,156,2013,6,60.6,9.6,5.6,0.63671875
"1478",1,157,2013,6,63.4,10,8.2,0.4765625
"1491",2,158,2013,6,63.6,6.9,8.1,0.34765625
"1492",6,159,2013,6,65.5,3.1,5.4,0.474609375
"1493",1,160,2013,6,62.4,10,7.4,0.470703125
"1494",3,161,2013,6,63.2,7,9.1,0.505859375
"1496",4,162,2013,6,69.7,8.4,10.2,0.572265625
"1498",6,163,2013,6,58.6,10,7.5,0.48828125
"1501",2,164,2013,6,64.9,9.8,9,0.29296875
"1510",2,165,2013,6,65.4,1.9,8.8,0.1328125
"1521",4,166,2013,6,61.8,7.5,8.7,0.50390625
"1529",1,167,2013,6,60.9,7,10.9,0.5390625
"1531",6,168,2013,6,60.8,10,8.7,0.349609375
"1535",2,169,2013,6,61.3,8.9,9.2,0.23828125
"1543",3,170,2013,6,66.8,2.8,12.1,0.634765625
"1548",5,171,2013,6,69.5,6.1,9.9,0.51953125
"1563",4,172,2013,6,60.8,1.8,13.2,0.546875
"1569",2,173,2013,6,61.8,4.6,12.6,0.2578125
"1576",7,174,2013,6,56.1,7.7,11.8,0.8515625
"1594",5,175,2013,6,64,8.1,14,0.5078125
"1602",1,176,2013,6,66.2,1.4,13.7,0.4609375
"1604",3,177,2013,6,60.8,2,12.7,0.6875
"1615",5,178,2013,6,62.6,8.4,12.2,0.521484375
"1628",1,179,2013,6,62.3,4.8,19.1,0.421875
"1629",7,180,2013,6,66.1,2.1,12.9,0.494140625
"1630",7,181,2013,6,55,7,18.3,0.66015625
"1679",3,182,2013,7,68.3,5.6,5.1,0.4609375
"1680",5,183,2013,7,70.6,10,6.7,0.38671875
"1689",5,184,2013,7,72.9,9.9,5.6,0.49609375
"1700",3,185,2013,7,76.3,9.3,5.7,0.44140625
"1710",1,186,2013,7,67.9,3.3,6.2,0.4296875
"1722",3,187,2013,7,69.2,6.5,5.3,0.47265625
"1759",4,188,2013,7,71.2,7.8,7.8,0.447265625
"1767",5,189,2013,7,71.1,1.9,7.1,0.505859375
"1768",2,190,2013,7,69.8,5.7,6.5,0.25390625
"1787",2,191,2013,7,72.8,6.6,5.3,0.1796875
