"","Kings County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"4",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.456140350877193
"10",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,10,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.609649122807018
"12",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.605263157894737
"18",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.539473684210526
"23",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,23,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.342105263157895
"27",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,27,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.37280701754386
"34",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,34,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.605263157894737
"40",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40,40,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.596491228070175
"45",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45,45,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.429824561403509
"46",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,46,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.605263157894737
"54",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,54,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.776315789473684
"60",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,60,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.513157894736842
"62",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,62,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.37719298245614
"68",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,68,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.605263157894737
"75",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75,75,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.517543859649123
"79",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79,79,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.596491228070175
"84",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84,84,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.491228070175439
"92",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,92,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.451754385964912
"97",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,97,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.355263157894737
"104",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104,104,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.407894736842105
"108",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,108,108,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.513157894736842
"113",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,113,113,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.62280701754386
"117",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,117,117,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.578947368421053
"123",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,123,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.666666666666667
"129",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,129,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.552631578947368
"135",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135,135,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.390350877192982
"137",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,137,137,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.574561403508772
"145",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,145,145,2013,35.4,34.9,1019,2.6,4.9,999.9,37.4,33.1,0.08,0,1,0.557017543859649
"146",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,146,146,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.469298245614035
"152",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,152,152,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.618421052631579
"165",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165,165,2013,27.6,10.4,1020.9,10,12.5,26,35.1,21.9,0,0,0,0.596491228070175
"166",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,166,166,2013,30.7,24.5,1012,8.2,9.8,22.9,36,25,0.01,0,0,0.552631578947368
"172",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,172,2013,29,16.9,1008.3,8.8,15.5,28,30.9,26.6,0,0,0,0.600877192982456
"177",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,177,177,2013,28.7,16.6,1014.6,7.8,8.2,18.1,32,27,0,0,0,0.517543859649123
"181",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,181,181,2013,34.8,30.4,1014.9,9,6.1,17.1,39.2,32,0.02,0,0,0.600877192982456
"190",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190,190,2013,29.4,13.4,1028.7,10,10.2,19,35.1,25,0,0,0,0.530701754385965
"194",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,194,194,2013,34.3,28.5,1026,7.3,16.3,51.1,37.9,26.1,0,0,0,0.824561403508772
"197",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,197,197,2013,29.2,25.8,997.4,1.2,35.3,63.9,37.4,23,1.64,0,1,0.37719298245614
"202",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,202,202,2013,24.7,14.7,1024.4,8.9,16.4,36.9,34,21,0.06,0,0,0.421052631578947
"210",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,210,210,2013,36.4,32,1022.1,7.6,9.8,28.9,48,24.1,0,0,0,0.530701754385965
"214",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,214,214,2013,41.4,36.6,1006.1,6.5,11.9,27,45,36,0.36,0,1,0.508771929824561
"218",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,218,218,2013,36.1,25.2,1010.6,10,7.7,999.9,41,26.1,0,0,0,0.56140350877193
"221",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,221,221,2013,36.6,29.3,1010.5,8.4,8.9,21,43,28,0.11,0,0,0.684210526315789
"230",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,230,230,2013,38.6,33.2,1017,9.8,6,999.9,46.9,28,0,0,0,0.513157894736842
"232",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,232,232,2013,39.2,35.8,1012.3,9.2,8.6,21,44.1,34,0,0,1,0.456140350877193
"238",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238,238,2013,30.9,25.6,998.1,4.2,23.6,49.9,39,23,0.01,0,1,0.504385964912281
"244",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,244,244,2013,24.6,7.6,1010.5,9.3,22,36.9,32,19,0,0,0,0.355263157894737
"246",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,246,246,2013,36.7,25.4,1019,10,10.6,26,46,30,0,0,0,0.451754385964912
"253",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,253,253,2013,38.7,28.9,1004.5,8.5,16.9,35.9,46.9,30.9,0.65,0,0,0.578947368421053
"257",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,257,257,2013,30.6,14.1,1009.7,10,17.3,29.9,36,28,0.03,0,0,0.526315789473684
"263",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,263,263,2013,35.4,25.4,1022.3,9.8,14.2,28.9,39.9,30.9,0,0,1,0.517543859649123
"266",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,266,266,2013,36.3,29.8,1022.9,9.7,7,999.9,41,30.9,0,0,0,0.508771929824561
"274",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,274,274,2013,42.6,40.7,1004.7,4.3,17.1,38.1,46.9,37.9,1.07,0,0,0.464912280701754
"279",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,279,279,2013,37.5,30.4,1015.7,8.3,13.4,24.1,43,33.8,0.75,0,0,0.464912280701754
"285",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,285,285,2013,35,26.7,1025.2,10,5,15.9,45,27,0.02,0,0,0.565789473684211
"286",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,286,286,2013,44.1,41,1014.7,5.9,18,40,46.9,39,0.24,0,1,0.548245614035088
"293",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,293,293,2013,41.4,38.9,1002.1,7.2,7.8,999.9,46.9,39,0.32,0,1,0.570175438596491
"297",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,297,297,2013,39.3,34.2,1000.8,9.4,10.6,24.1,43,37,0.08,0,0,0.592105263157895
"301",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,301,301,2013,38.2,29.1,1004,10,9.4,15,42.1,36,0,0,0,0.482456140350877
"308",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,308,308,2013,37.4,29.3,1002.6,10,7.1,999.9,39.9,36,0,0,0,0.482456140350877
"314",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,314,314,2013,37,26.4,1002.1,10,11.5,25.1,43,32,0,0,0,0.692982456140351
"318",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,318,318,2013,38.5,29.8,1009.5,9.9,14.9,27,43,35.1,0,0,0,0.5
"325",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,325,325,2013,39.1,34.2,1014.7,9.4,13.5,39,43,32,0.02,0,0,0.526315789473684
"330",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,330,330,2013,38.3,35.2,1008.2,4.1,31.6,55,41,33.8,0.8,0,0,0.56140350877193
"332",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,332,332,2013,37.4,35.2,1008.1,3.3,28.4,45.1,41,36,1.58,0,0,0.855263157894737
"339",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,339,339,2013,39.2,31.7,1018.9,9.9,24.9,42.9,42.1,37.4,0.4,0,0,0.473684210526316
"342",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,342,342,2013,39,31.7,1026.9,10,11.9,25.1,43,36,0,0,0,0.456140350877193
"347",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,347,347,2013,39.9,34.7,1026.1,10,6.5,999.9,45,36,0,0,0,0.570175438596491
"351",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,351,351,2013,46,43.9,1018.9,7.5,13.1,26,50,41,0,0,0,0.495614035087719
"359",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,359,359,2013,46.3,41.1,1007.6,7.1,13.1,26,50,41,0.54,0,0,0.618421052631579
"364",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,364,364,2013,37,25.3,1007.7,9.7,10.4,26,44.1,30,0.49,0,0,0.62280701754386
"366",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2013,31.2,13.7,1009.1,10,18.5,36.9,39,25,0,0,0,0.574561403508772
"374",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,2013,37.1,22,1008.1,10,10.2,25.1,41,34,0,0,0,0.456140350877193
"380",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,2013,34.8,21.5,1014.7,9.9,7.5,20,39.9,28,0,0,0,0.447368421052632
"384",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,19,2013,32.1,15.5,1027.6,10,9,20,37,26.1,0,0,0,0.570175438596491
"388",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,23,2013,39.6,35.5,1012.4,4.6,16.5,33,46.9,33.1,0.41,0,1,0.526315789473684
"395",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,30,2013,36.5,25.7,1007.3,10,17.9,32.1,42.1,32,0.35,0,0,0.548245614035088
"397",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,32,2013,38.3,29.9,1006.7,9.8,10.9,27,45,28,0,0,0,0.521929824561403
"402",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,37,2013,34.3,27.6,1003.8,6.8,13.6,26,39,30,0.23,0,0,0.614035087719298
"410",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,45,2013,38.5,21.7,1006.3,10,15.9,39,45,32,0.02,0,0,0.425438596491228
"413",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,48,2013,39.1,23.3,1008.5,10,10.4,22,45,34,0,0,0,0.464912280701754
"418",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,53,2013,38.1,29.8,1003.3,10,9.7,28,46.9,32,0,0,0,0.570175438596491
"425",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60,60,2013,39.8,28.7,1002.7,9.7,15.5,34,46.9,35.1,0.05,0,0,0.37719298245614
"428",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,63,63,2013,41.7,30.3,1008.3,10,9.4,22.9,50,34,0.01,0,0,0.429824561403509
"432",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,67,2013,42.5,34.5,1011.7,9.9,12.5,25.1,50,37.9,0.02,0,0,0.552631578947368
"440",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,75,2013,45.2,34.3,1016.4,10,8.9,20,54,39,0.02,0,0,0.486842105263158
"444",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,79,2013,44.5,35.1,1017.4,10,7,17.1,52,37.9,0.02,0,0,0.442982456140351
"448",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83,83,2013,43,38.1,1019.2,10,7.1,999.9,48.9,33.1,0,0,0,0.447368421052632
"453",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,88,2013,47,42.9,1005.8,6.8,16.3,34,51.1,44.1,0.18,0,0,0.451754385964912
"460",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,95,95,2013,39.6,18.8,1011.4,9.9,17.2,33,51.1,32,0.02,0,0,0.337719298245614
"463",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,98,98,2013,42.6,15.7,1015.8,10,17,34,51.1,33.8,0,0,0,0.570175438596491
"467",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102,102,2013,39,18.8,1023.2,10,14,28,45,34,0,0,0,0.684210526315789
"472",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,107,2013,42.9,38.5,1014.7,8.7,8,22,48,39,0.01,0,0,0.587719298245614
"479",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,114,2013,40.2,22,1018.3,10,12.5,28.9,45,35.1,0.33,0,0,0.587719298245614
"484",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119,119,2013,39.7,28.6,1025.8,10,9.2,999.9,48,26.1,0,0,0,0.425438596491228
"486",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121,121,2013,50,41.6,1018.1,9.1,9.4,999.9,62.1,42.1,0,0,0,0.666666666666667
"491",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,126,126,2013,49.4,43.4,1015.9,6.7,10.7,28,63,39.9,0,0,1,0.653508771929825
"498",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,133,133,2013,46.5,42,1014.1,7.6,8.8,17.1,54,41,0.12,0,1,0.653508771929825
"505",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140,140,2013,46.2,41,1013.7,6.6,10,26,52,42.8,0.06,0,1,0.557017543859649
"508",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143,143,2013,43.6,35.7,1018.6,7.7,13.8,35.9,51.8,39.2,0.01,0,0,0.736842105263158
"512",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147,147,2013,44.4,39.7,1008.2,8.2,12.9,33,53.6,39,1.44,0,1,0.526315789473684
"516",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151,151,2013,46.1,38.4,1015.5,9.6,7.7,999.9,55.9,39,0.09,0,0,0.486842105263158
"522",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157,157,2013,46.1,34.2,1026,10,8.1,999.9,53.1,39,0,0,0,0.697368421052632
"530",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,165,165,2013,46,40.5,1028.7,10,9.3,999.9,53.1,37.9,0,0,0,0.578947368421053
"533",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,168,168,2013,52.1,42.7,1021.9,8.3,11,22.9,60.1,44.1,0.03,0,0,0.486842105263158
"536",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,171,171,2013,46.5,37.3,1028.1,10,8.8,24.1,54,35.1,0,0,0,0.570175438596491
"543",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,178,178,2013,52.6,49.4,1018.1,4.6,12.5,29.9,59,46,0,0,1,0.605263157894737
"546",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,181,181,2013,52.7,49.6,1012.4,3.6,15.2,39,57.2,46.9,0.62,0,1,0.521929824561403
"554",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,189,189,2013,45.1,28.5,1029.4,10,11.7,22,48.9,39,0.24,0,0,0.478070175438596
"556",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,191,191,2013,43,29.8,1037.8,10,11.3,25.1,50,34,0,0,0,0.596491228070175
"565",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,200,200,2013,44.6,40,1026.9,5.1,15,28.9,46.4,42.1,0.11,0,0,0.530701754385965
"568",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,203,203,2013,47.5,43.6,1012.9,7,19.2,36.9,52,44.6,1.77,0,0,0.653508771929825
"573",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,208,208,2013,50.8,45.1,1017.9,7.2,10.4,20,55.9,45,0.01,0,0,0.635964912280702
"580",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,215,2013,49.5,37.8,1026.9,9.5,6.5,999.9,61,37.9,0.06,0,0,0.719298245614035
"582",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217,217,2013,46.6,34.7,1029.1,8.6,3.9,999.9,55.9,35.1,0,0,1,0.464912280701754
"590",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225,225,2013,48,38.5,1027.1,9.8,3.9,999.9,57,37,0,0,0,0.495614035087719
"594",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,229,229,2013,49.7,37.9,1025.5,9.9,4.3,999.9,59,39.9,0,0,0,0.679824561403509
"596",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,231,231,2013,51,30.2,1026.2,10,5.2,999.9,63,39.9,0,0,0,0.675438596491228
"603",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,238,238,2013,49.9,41.4,1030.2,7.4,7,999.9,60.8,39.9,0,0,1,0.62280701754386
"606",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,241,241,2013,49.9,42,1030.3,9.5,5,20,62.1,37.9,0,0,0,0.605263157894737
"612",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,247,247,2013,46.9,39.7,1030,9.9,13.7,29.9,53.1,37.9,0,0,0,0.68859649122807
"617",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,252,252,2013,47.8,38.7,1026.5,10,13.7,31.1,54,43,0,0,0,0.609649122807018
"623",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,258,258,2013,47.8,39.9,1025.3,9.7,10.1,20,55.9,42.1,0,0,0,0.530701754385965
"627",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,262,262,2013,49.2,43.4,1024.3,5.1,5.5,999.9,61,44.1,0,0,1,0.565789473684211
"634",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,269,269,2013,54.4,49.9,1021.9,4.4,4.5,999.9,66.9,46,0,0,1,0.675438596491228
"637",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,272,272,2013,59.4,54.7,1021.5,7.5,10.5,22,72,53.1,0.01,0,1,0.758771929824561
"644",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,279,279,2013,57.2,53.6,1015.2,5,6.2,999.9,62.6,53.6,0.01,0,1,0.684210526315789
"647",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,282,282,2013,56.1,51,1014.8,5.7,8.3,999.9,66,51.1,0,0,1,0.785087719298246
"655",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,290,290,2013,56.2,53.1,1013.1,3.7,9.4,22.9,62.1,52,0,0,1,0.504385964912281
"656",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,291,291,2013,56.2,53.1,1005.6,3.3,11,22.9,59,54,1.62,0,1,0.548245614035088
"661",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,296,296,2013,53.1,37.1,1013.5,9.9,11.9,22,57,46,0.07,0,0,0.62280701754386
"669",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,304,304,2013,51,35.3,1015.8,9.8,11.8,29.9,55.9,42.8,0,0,0,0.495614035087719
"673",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,308,308,2013,53.1,44.5,1016.5,10,12.1,28,59,48,0.16,0,0,0.464912280701754
"679",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,314,314,2013,57.7,50.1,1006.9,7.1,12.5,28,64.9,53.1,0.02,0,0,0.469298245614035
"685",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,320,320,2013,58.2,43.9,1013.8,9.9,10.7,22.9,64,51.1,0,0,0,0.745614035087719
"688",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,323,323,2013,54.6,45.2,1025.3,10,5.1,999.9,64,44.1,0,0,0,0.508771929824561
"691",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,326,326,2013,56.3,49.4,1027.4,9.3,6.6,999.9,63,46.9,0,0,0,0.570175438596491
"698",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,333,333,2013,57.5,54.5,1020.4,2.9,10.3,22,62.1,55,0.33,0,1,0.728070175438597
"704",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,339,339,2013,58,55.5,1014.3,0.3,7.8,999.9,61,55.4,0.24,0,1,0.767543859649123
"709",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,344,344,2013,57.8,55.1,1013.8,2.5,7.1,17.1,64,53.1,0,0,1,0.570175438596491
"712",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347,347,2013,61.5,57.6,1015.1,3,13.3,24.1,66.9,57,0,0,1,0.754385964912281
"717",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,352,352,2013,61,58.7,1009.8,2.1,14,39,64,57.2,1.24,0,1,0.684210526315789
"721",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,356,356,2013,55.6,52.3,1005.9,4.6,7.6,18.1,61,51.8,1.03,0,1,0.456140350877193
"730",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,365,365,2013,50.2,41.8,1010.9,9.3,13.9,28,57,44.6,0.54,0,0,0.473684210526316
"735",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,2013,56.9,42.8,1020,10,14.1,26,64,51.1,0.01,0,0,0.473684210526316
"738",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,2013,56.6,49.6,1023.2,9.9,6.4,999.9,63,46.9,0,0,0,0.657894736842105
"742",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,12,2013,57.9,54.7,1021,4.9,10.9,26,61,55.4,0.51,0,0,0.587719298245614
"749",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,19,2013,60.9,56.2,1018.8,6.1,11.6,20,66.9,57.2,0.26,0,0,0.758771929824561
