"","day_index","day","year","mo","county","temp","visib","wdsp","NUM_COLLISIONS"
"5488",2139,1,2018,5,"Bronx County",53.4,5.8,11.6,0.246696035242291
"5492",2143,2,2018,5,"Bronx County",57.7,6,8.5,0.52863436123348
"5499",2150,3,2018,5,"Bronx County",59.2,6.4,7.5,0.365638766519824
"5501",2152,4,2018,5,"Bronx County",55.1,3.7,6.5,0.387665198237885
"6750",2161,2,2018,5,"Bronx County",48.4,10,7.6,0.45374449339207
"6753",2164,3,2018,5,"Bronx County",54.5,10,13.1,0.488986784140969
"6756",2167,4,2018,5,"Bronx County",54,9.5,13.2,0.484581497797357
"6762",2173,5,2018,5,"Bronx County",53.3,7.8,12.2,0.39647577092511
"6769",2180,6,2018,5,"Bronx County",58,9.2,13.5,0.3215859030837
"6775",2186,7,2018,5,"Bronx County",52.5,8.1,6.9,0.220264317180617
"6777",2188,1,2018,5,"Bronx County",53,8.7,11.3,0.308370044052863
"6784",1830,2,2018,5,"Bronx County",48.4,4.9,6.9,0.493392070484582
"6787",1833,3,2018,5,"Bronx County",51.2,4,7.7,0.502202643171806
"6791",1837,4,2018,5,"Bronx County",51,6.2,12.2,0.330396475770925
"6796",1842,5,2018,5,"Bronx County",56.8,8.1,11.3,0.45374449339207
"6802",1848,6,2018,5,"Bronx County",48.9,9.5,7.3,0.361233480176211
"6943",1854,5,2018,6,"Bronx County",58.6,4.8,6.2,0.47136563876652
"6949",1860,6,2018,6,"Bronx County",63.1,4.4,7.9,0.325991189427313
"6955",1866,7,2018,6,"Bronx County",52.8,10,11.8,0.290748898678414
"6959",1870,1,2018,6,"Bronx County",51,6.2,13.5,0.33920704845815
"6962",1873,2,2018,6,"Bronx County",54.5,9.4,11,0.352422907488987
"6970",1881,3,2018,6,"Bronx County",54.8,9.7,9.6,0.414096916299559
"6971",1882,4,2018,6,"Bronx County",51.5,10,6.5,0.383259911894273
"6979",1890,5,2018,6,"Bronx County",54.8,7.9,8,0.418502202643172
"6982",1893,6,2018,6,"Bronx County",62.9,9.8,5.7,0.414096916299559
"6990",1901,7,2018,6,"Bronx County",61.5,9.4,6.8,0.299559471365639
"6992",1903,1,2018,6,"Bronx County",56.2,10,8.8,0.462555066079295
"6996",1907,2,2018,6,"Bronx County",55.3,10,9.6,0.400881057268722
"7003",1914,3,2018,6,"Bronx County",59.4,7.9,11.5,0.39647577092511
"7009",1920,4,2018,6,"Bronx County",63.8,5.3,13.6,0.484581497797357
"7014",1925,5,2018,6,"Bronx County",59,9.3,6.2,0.418502202643172
"7018",1929,6,2018,6,"Bronx County",62.8,9.3,8.2,0.400881057268722
"7021",1932,7,2018,6,"Bronx County",66.7,10,6,0.374449339207048
"7030",1941,1,2018,6,"Bronx County",62.9,9.1,9.6,0.458149779735683
"7031",1942,2,2018,6,"Bronx County",67.7,6.3,11.6,0.480176211453745
"7040",1951,3,2018,6,"Bronx County",62.8,7.9,5.2,0.436123348017621
"7042",1953,4,2018,6,"Bronx County",63.4,8.1,6.4,0.519823788546256
"7046",1957,5,2018,6,"Bronx County",61.1,5.5,7.2,0.45374449339207
"7054",1965,6,2018,6,"Bronx County",59.2,5.7,9.2,0.268722466960352
"7059",1970,7,2018,6,"Bronx County",62.7,3.7,5.9,0.308370044052863
"7062",1973,1,2018,6,"Bronx County",63.8,6.1,10.4,0.440528634361233
"7068",1979,2,2018,6,"Bronx County",60.7,10,7.7,0.422907488986784
"7072",1983,3,2018,6,"Bronx County",62.7,10,9.3,0.277533039647577
"7076",1987,4,2018,6,"Bronx County",64.1,6.3,14.6,0.436123348017621
"7082",1993,5,2018,6,"Bronx County",68,4.4,7,0.54625550660793
"7086",1997,6,2018,6,"Bronx County",71.1,10,5.9,0.370044052863436
"8506",2002,7,2018,7,"Bronx County",70.8,8.8,5.9,0.330396475770925
"8515",2011,1,2018,7,"Bronx County",68.4,8.7,4.7,0.409691629955947
"8518",2014,2,2018,7,"Bronx County",66.9,2.9,6.2,0.370044052863436
"8521",2017,3,2018,7,"Bronx County",71.7,4.8,6.8,0.18942731277533
"8526",2022,4,2018,7,"Bronx County",71.7,1.6,6.2,0.497797356828194
"8531",2027,5,2018,7,"Bronx County",70.6,4.8,11.5,0.414096916299559
"8538",2034,6,2018,7,"Bronx County",67.3,9.9,12.8,0.3215859030837
"8544",2040,7,2018,7,"Bronx County",61.7,10,3.8,0.255506607929515
"8547",2043,1,2018,7,"Bronx County",60.9,10,6.7,0.383259911894273
"8555",2051,2,2018,7,"Bronx County",67.2,9.9,10.4,0.422907488986784
"8558",2054,3,2018,7,"Bronx County",68.3,9.3,8.9,0.422907488986784
"8565",2061,4,2018,7,"Bronx County",68.2,10,6.8,0.348017621145374
"8569",2065,5,2018,7,"Bronx County",64.8,10,5,0.488986784140969
"8574",2070,6,2018,7,"Bronx County",64.9,10,4.7,0.352422907488987
"8578",2074,7,2018,7,"Bronx County",65.5,8.6,5.3,0.268722466960352
"8581",2077,1,2018,7,"Bronx County",68.7,2.6,4.7,0.493392070484582
"8588",2084,2,2018,7,"Bronx County",70.5,4.6,10.7,0.431718061674009
"8592",2088,3,2018,7,"Bronx County",71.2,7.9,9,0.387665198237885
"8599",2095,4,2018,7,"Bronx County",67.9,10,6.3,0.400881057268722
"8603",2099,5,2018,7,"Bronx County",64.3,10,3.3,0.39647577092511
"8610",2106,6,2018,7,"Bronx County",59.8,6.8,6.7,0.33920704845815
"8615",2111,7,2018,7,"Bronx County",66.5,3.2,12.8,0.255506607929515
"8617",2113,1,2018,7,"Bronx County",69.9,7.3,12.6,0.352422907488987
"8622",2118,2,2018,7,"Bronx County",69.2,5.7,9.8,0.361233480176211
"8628",2124,3,2018,7,"Bronx County",69.8,5,11,0.343612334801762
"8632",2128,4,2018,7,"Bronx County",69.8,4.7,13.9,0.348017621145374
"8639",2135,5,2018,7,"Bronx County",70.6,2.1,7.8,0.444933920704846
"8645",2141,6,2018,7,"Bronx County",69.7,1.4,6.7,0.39647577092511
"8646",2142,7,2018,7,"Bronx County",72.9,6.5,6.3,0.202643171806167
"8655",2151,1,2018,7,"Bronx County",71.3,9.9,5.8,0.343612334801762
"8656",2152,2,2018,7,"Bronx County",68.9,8.4,4.9,0.409691629955947
"10185",2161,3,2018,8,"Bronx County",69.2,7.5,8.6,0.400881057268722
"10188",2164,4,2018,8,"Bronx County",73.7,5.4,11.6,0.414096916299559
"10193",2169,5,2018,8,"Bronx County",73.7,4.6,9.2,0.449339207048458
"10196",2172,6,2018,8,"Bronx County",71.8,4.4,9.4,0.370044052863436
"10205",2181,7,2018,8,"Bronx County",74.3,8.8,7.1,0.325991189427313
"10207",2183,1,2018,8,"Bronx County",74.8,6.3,7.2,0.431718061674009
"10214",2190,2,2018,8,"Bronx County",75.8,6.7,9.7,0.409691629955947
"10220",1831,3,2018,8,"Bronx County",74.6,5.9,8.1,0.3215859030837
"10224",1835,4,2018,8,"Bronx County",74.9,3.6,9.2,0.400881057268722
"10227",1838,5,2018,8,"Bronx County",76.9,9.6,6.4,0.440528634361233
"10232",1843,6,2018,8,"Bronx County",68.8,9,5.8,0.299559471365639
"10237",1848,7,2018,8,"Bronx County",70.9,7.8,7.3,0.281938325991189
"10241",1852,1,2018,8,"Bronx County",69.1,7.7,6.2,0.356828193832599
"10250",1861,2,2018,8,"Bronx County",72.8,4.5,6.9,0.444933920704846
"10254",1865,3,2018,8,"Bronx County",74.1,9.4,9.7,0.334801762114537
"10257",1868,4,2018,8,"Bronx County",77.2,9.1,10.1,0.400881057268722
"10264",1875,5,2018,8,"Bronx County",74.9,6.3,5.1,0.475770925110132
"10266",1877,6,2018,8,"Bronx County",73.9,5.9,9.4,0.33920704845815
"10273",1884,7,2018,8,"Bronx County",68.5,8.9,13.1,0.343612334801762
"10277",1888,1,2018,8,"Bronx County",66.7,4.7,11.6,0.286343612334802
"10281",1892,2,2018,8,"Bronx County",66.7,7.1,9.5,0.246696035242291
"10289",1900,3,2018,8,"Bronx County",68.1,4.8,8.1,0.352422907488987
"10295",1906,4,2018,8,"Bronx County",70,9.7,9.3,0.414096916299559
"10300",1911,5,2018,8,"Bronx County",67.1,10,4.7,0.387665198237885
"10304",1915,6,2018,8,"Bronx County",66.5,9,5.8,0.330396475770925
"10309",1920,7,2018,8,"Bronx County",68.2,10,5.4,0.317180616740088
"10313",1924,1,2018,8,"Bronx County",73.1,9.1,8.7,0.387665198237885
"10317",1928,2,2018,8,"Bronx County",73,3.5,9,0.392070484581498
"10322",1933,3,2018,8,"Bronx County",75.3,5.5,9.8,0.400881057268722
"10328",1939,4,2018,8,"Bronx County",76.2,7,10.2,0.405286343612335
"10334",1945,5,2018,8,"Bronx County",69.9,10,13,0.352422907488987
"11857",1948,6,2018,9,"Bronx County",65,10,7.2,0.325991189427313
"11863",1954,7,2018,9,"Bronx County",67,10,5,0.290748898678414
"11868",1959,1,2018,9,"Bronx County",69.9,9.2,8.4,0.259911894273128
"11874",1965,2,2018,9,"Bronx County",75.7,6.1,9.9,0.52863436123348
"11877",1968,3,2018,9,"Bronx County",69.2,9.3,4.8,0.449339207048458
"11881",1972,4,2018,9,"Bronx County",72.6,9.4,9.8,0.515418502202643
"11890",1981,5,2018,9,"Bronx County",71.1,10,8.7,0.352422907488987
"11893",1984,6,2018,9,"Bronx County",66.6,10,6.9,0.26431718061674
"11899",1990,7,2018,9,"Bronx County",62.6,10,10,0.259911894273128
"11903",1994,1,2018,9,"Bronx County",62.3,9.5,13.4,0.409691629955947
"11907",1998,2,2018,9,"Bronx County",68.9,7.4,10,0.299559471365639
"11913",2004,3,2018,9,"Bronx County",71,3.1,4,0.431718061674009
"11916",2007,4,2018,9,"Bronx County",66.1,6.3,8.4,0.414096916299559
"11921",2012,5,2018,9,"Bronx County",64.9,9.2,7.1,0.422907488986784
"11927",2018,6,2018,9,"Bronx County",65.9,9.3,5.8,0.317180616740088
"11933",2024,7,2018,9,"Bronx County",63.9,6.8,3.7,0.277533039647577
"11936",2027,1,2018,9,"Bronx County",65.6,7.9,5,0.334801762114537
"11944",2035,2,2018,9,"Bronx County",71,8.1,8.7,0.444933920704846
"11950",2041,3,2018,9,"Bronx County",66.5,7.8,11,0.268722466960352
"11952",2043,4,2018,9,"Bronx County",63.7,9.1,11.3,0.365638766519824
"11960",2051,5,2018,9,"Bronx County",60.6,10,6.9,0.387665198237885
"11962",2053,6,2018,9,"Bronx County",68.8,9.6,14.4,0.237885462555066
"11969",2060,7,2018,9,"Bronx County",59.8,10,3,0.277533039647577
"11974",2065,1,2018,9,"Bronx County",57.4,10,10.1,0.3215859030837
"11979",2070,2,2018,9,"Bronx County",60.5,8.7,14.4,0.480176211453745
"11982",2073,3,2018,9,"Bronx County",69.4,6.9,14.7,0.39647577092511
"11986",2077,4,2018,9,"Bronx County",66.3,8.5,13.2,0.317180616740088
"11991",2082,5,2018,9,"Bronx County",60.5,6.3,8.5,0.352422907488987
"11996",2087,6,2018,9,"Bronx County",62.3,9.8,6.6,0.3215859030837
"12005",2096,7,2018,9,"Bronx County",61,9.7,4.7,0.330396475770925
"13550",2101,1,2018,10,"Bronx County",62,10,5.4,0.3215859030837
"13553",2104,2,2018,10,"Bronx County",64.7,9.5,6.6,0.286343612334802
"13556",2107,3,2018,10,"Bronx County",64.4,7.7,9.4,0.466960352422908
"13564",2115,4,2018,10,"Bronx County",60,9.6,5.7,0.325991189427313
"13568",2119,5,2018,10,"Bronx County",62.2,9.8,14.7,0.519823788546256
"13572",2123,6,2018,10,"Bronx County",55.5,10,6,0.273127753303965
"13577",2128,7,2018,10,"Bronx County",64.4,8,8.6,0.246696035242291
"13582",2133,1,2018,10,"Bronx County",60.7,8.8,10.5,0.259911894273128
"13587",2138,2,2018,10,"Bronx County",63.1,10,8.6,0.348017621145374
"13591",2142,3,2018,10,"Bronx County",66.2,3.9,9.1,0.392070484581498
"13599",2150,4,2018,10,"Bronx County",67.2,4.1,8.9,0.370044052863436
"13601",2152,5,2018,10,"Bronx County",63.1,5.2,14.8,0.572687224669604
"13608",2159,6,2018,10,"Bronx County",53.2,10,7.9,0.286343612334802
"13615",2166,7,2018,10,"Bronx County",52.8,10,8.9,0.242290748898678
"13620",2171,1,2018,10,"Bronx County",57.1,9.1,9.8,0.281938325991189
"13622",2173,2,2018,10,"Bronx County",57.1,8.6,15.5,0.365638766519824
"13626",2177,3,2018,10,"Bronx County",55.6,10,13.3,0.418502202643172
"13632",2183,4,2018,10,"Bronx County",45.6,10,16.3,0.405286343612335
"13636",2187,5,2018,10,"Bronx County",49.2,10,13.7,0.497797356828194
"13645",1831,6,2018,10,"Bronx County",59.5,9,16.1,0.290748898678414
"13650",1836,7,2018,10,"Bronx County",48.5,9.1,11.8,0.268722466960352
"13654",1840,1,2018,10,"Bronx County",43.3,10,11.7,0.374449339207048
"13660",1846,2,2018,10,"Bronx County",51.5,9.9,8,0.352422907488987
"13663",1849,3,2018,10,"Bronx County",48.8,10,13.2,0.352422907488987
"13670",1856,4,2018,10,"Bronx County",45.3,10,14.2,0.39647577092511
"13672",1858,5,2018,10,"Bronx County",39.8,10,8.7,0.374449339207048
"13677",1863,6,2018,10,"Bronx County",50,5.7,16,0.422907488986784
"13683",1869,7,2018,10,"Bronx County",56.8,6.9,13.4,0.317180616740088
"13688",1874,1,2018,10,"Bronx County",54.9,9.8,11.7,0.431718061674009
"13694",1880,2,2018,10,"Bronx County",47.9,10,9.8,0.387665198237885
"13698",1884,3,2018,10,"Bronx County",45.9,10,6.8,0.290748898678414
"15056",1887,4,2018,11,"Bronx County",58,7.6,11.1,0.303964757709251
"15065",1896,5,2018,11,"Bronx County",60,5.2,13.9,0.409691629955947
"15066",1897,6,2018,11,"Bronx County",59.7,5.4,19.2,0.312775330396476
"15071",1902,7,2018,11,"Bronx County",47.7,10,9.9,0.229074889867841
"15078",1909,1,2018,11,"Bronx County",47.5,9.7,9.2,0.440528634361233
"15084",1915,2,2018,11,"Bronx County",56.8,2.1,12.1,0.33920704845815
"15088",1919,3,2018,11,"Bronx County",57.9,8.4,13.7,0.440528634361233
"15095",1926,4,2018,11,"Bronx County",52.1,9.9,11.1,0.277533039647577
"15097",1928,5,2018,11,"Bronx County",48.3,10,11.1,0.563876651982379
"15105",1936,6,2018,11,"Bronx County",52.2,7.5,19.1,0.365638766519824
"15106",1937,7,2018,11,"Bronx County",39.9,10,13.7,0.295154185022026
"15113",1944,1,2018,11,"Bronx County",41.7,10,8.2,0.167400881057269
"15117",1948,2,2018,11,"Bronx County",51.9,5.8,16.9,0.400881057268722
"15123",1954,3,2018,11,"Bronx County",39.3,10,16.5,0.39647577092511
"15126",1957,4,2018,11,"Bronx County",34,9.9,10.6,0.555066079295154
"15131",1962,5,2018,11,"Bronx County",42.8,5.5,19,0.440528634361233
"15137",1968,6,2018,11,"Bronx County",44.5,10,12.1,0.370044052863436
"15145",1976,7,2018,11,"Bronx County",41.7,10,6.7,0.220264317180617
"15150",1981,1,2018,11,"Bronx County",46.7,10,5,0.409691629955947
"15155",1986,2,2018,11,"Bronx County",48.2,9.2,7,0.356828193832599
"15159",1990,3,2018,11,"Bronx County",39.9,9.7,13.8,0.414096916299559
"15161",1992,4,2018,11,"Bronx County",24.9,10,19.2,0.268722466960352
"15168",1999,5,2018,11,"Bronx County",23,9.7,13.1,0.317180616740088
"15175",2006,6,2018,11,"Bronx County",41.4,10,11.5,0.286343612334802
"15178",2009,7,2018,11,"Bronx County",47.7,6.1,15.9,0.193832599118943
"15182",2013,1,2018,11,"Bronx County",45.4,7.8,8.1,0.427312775330396
"15189",2020,2,2018,11,"Bronx County",46.9,7.2,19.3,0.242290748898678
"15194",2025,3,2018,11,"Bronx County",41,10,12.5,0.299559471365639
"15198",2029,4,2018,11,"Bronx County",41.3,10,17.1,0.352422907488987
"15203",2034,5,2018,11,"Bronx County",38.4,10,7.5,0.427312775330396
"16562",2038,6,2018,12,"Bronx County",38.3,9.9,5.7,0.299559471365639
"16567",2043,7,2018,12,"Bronx County",46,5.1,12.2,0.198237885462555
"16574",2050,1,2018,12,"Bronx County",51,2.7,11.3,0.3215859030837
"16579",2055,2,2018,12,"Bronx County",40.6,10,12.1,0.383259911894273
"16581",2057,3,2018,12,"Bronx County",31.6,10,7,0.312775330396476
"16588",2064,4,2018,12,"Bronx County",34.9,10,10.7,0.334801762114537
"16591",2067,5,2018,12,"Bronx County",38,9.8,11,0.334801762114537
"16596",2072,6,2018,12,"Bronx County",27.9,10,11.5,0.286343612334802
"16605",2081,7,2018,12,"Bronx County",29.7,10,8.6,0.105726872246696
"16610",2086,1,2018,12,"Bronx County",35.5,10,10.1,0.3215859030837
"16615",2091,2,2018,12,"Bronx County",32,10,4.5,0.374449339207048
"16619",2095,3,2018,12,"Bronx County",32.3,8.9,9.3,0.308370044052863
"16622",2098,4,2018,12,"Bronx County",30.9,10,6.4,0.39647577092511
"16627",2103,5,2018,12,"Bronx County",37.9,10,6.2,0.511013215859031
"16633",2109,6,2018,12,"Bronx County",46.1,5.7,6.8,0.370044052863436
"16636",2112,7,2018,12,"Bronx County",43.8,8.4,15.2,0.325991189427313
"16642",2118,1,2018,12,"Bronx County",42.2,6.2,14.6,0.356828193832599
"16646",2122,2,2018,12,"Bronx County",33.3,9.6,19.7,0.427312775330396
"16655",2131,3,2018,12,"Bronx County",29.8,10,9.4,0.440528634361233
"16658",2134,4,2018,12,"Bronx County",38.6,9.6,5,0.519823788546256
"16662",2138,5,2018,12,"Bronx County",50.4,5.3,17.6,0.511013215859031
"16670",2146,6,2018,12,"Bronx County",48.3,4.1,13.3,0.312775330396476
"16674",2150,7,2018,12,"Bronx County",36.7,10,11.6,0.295154185022026
"16676",2152,1,2018,12,"Bronx County",35.2,9.5,4.9,0.348017621145374
"16683",2159,2,2018,12,"Bronx County",35.6,10,10,0.149779735682819
"16687",2163,3,2018,12,"Bronx County",31.8,10,11.1,0.277533039647577
"16695",2171,4,2018,12,"Bronx County",34.7,10,8.1,0.317180616740088
"16697",2173,5,2018,12,"Bronx County",41.8,7.5,15,0.414096916299559
"16705",2181,6,2018,12,"Bronx County",48.4,4.1,14.2,0.273127753303965
"16708",2184,7,2018,12,"Bronx County",34.6,10,8.4,0.198237885462555
"16711",2187,1,2018,12,"Bronx County",32,10,5.2,0.370044052863436
"1",2192,4,2019,1,"Bronx County",46.5,5.2,19.2,0.343347639484979
"10",2201,5,2019,1,"Bronx County",37,8.9,14,0.437768240343348
"13",2204,6,2019,1,"Bronx County",30.5,10,7.9,0.32618025751073
"16",2207,7,2019,1,"Bronx County",35.1,9.9,7.8,0.231759656652361
"22",2213,1,2019,1,"Bronx County",35.7,9.8,11.3,0.28755364806867
"27",2218,2,2019,1,"Bronx County",33.8,10,9.6,0.433476394849785
"34",2225,3,2019,1,"Bronx County",36.8,8.8,15.1,0.330472103004292
"36",2227,4,2019,1,"Bronx County",15.7,9.5,16.4,0.351931330472103
"1282",2233,2,2019,1,"Bronx County",47.4,5.4,18.3,0.278969957081545
"1287",2238,3,2019,1,"Bronx County",35,10,10.3,0.257510729613734
"1292",2243,4,2019,1,"Bronx County",39.4,9.5,9.2,0.28755364806867
"1297",2248,5,2019,1,"Bronx County",39,9.8,9.9,0.394849785407725
"1304",2255,6,2019,1,"Bronx County",43.8,5,11.8,0.270386266094421
"1310",2261,7,2019,1,"Bronx County",39.7,9.6,13.1,0.171673819742489
"1312",2263,1,2019,1,"Bronx County",27.4,10,17.4,0.347639484978541
"1318",2269,2,2019,1,"Bronx County",36.3,6.7,9.3,0.291845493562232
"1325",2276,3,2019,1,"Bronx County",44.4,5.6,13.4,0.231759656652361
"1326",2277,4,2019,1,"Bronx County",34.9,9.7,14.7,0.386266094420601
"1332",2283,5,2019,1,"Bronx County",28.6,10,14.2,0.412017167381974
"1339",2290,6,2019,1,"Bronx County",23.1,10,12.9,0.236051502145923
"1345",2296,7,2019,1,"Bronx County",26,10,8,0.171673819742489
"1350",2301,1,2019,1,"Bronx County",32.8,10,15.3,0.523605150214592
"1355",2306,2,2019,1,"Bronx County",29.4,10,7.4,0.339055793991416
"1360",2311,3,2019,1,"Bronx County",31.3,9.8,9.1,0.339055793991416
"1361",2312,4,2019,1,"Bronx County",29.4,10,11.2,0.420600858369099
"1367",2318,5,2019,1,"Bronx County",33.2,8.3,6.8,0.416309012875536
"1373",2324,6,2019,1,"Bronx County",34.5,9.8,6.9,0.283261802575107
"1378",2329,7,2019,1,"Bronx County",43.2,2.8,17,0.227467811158798
"1381",2332,1,2019,1,"Bronx County",13.7,7,17,0.231759656652361
"1388",2339,2,2019,1,"Bronx County",15.8,10,17.6,0.36480686695279
"1391",2342,3,2019,1,"Bronx County",31.6,9.4,8.3,0.347639484978541
"1407",2348,5,2019,2,"Bronx County",17.6,9.8,10.9,0.429184549356223
"1415",2356,6,2019,2,"Bronx County",23.5,10,11.8,0.377682403433476
"1416",2357,7,2019,2,"Bronx County",35.4,8.1,10.4,0.313304721030043
"1421",2362,1,2019,2,"Bronx County",39.7,7.5,7.3,0.437768240343348
"1426",2367,2,2019,2,"Bronx County",43,3,4.8,0.351931330472103
"1434",2375,3,2019,2,"Bronx County",39.1,9.9,9.7,0.394849785407725
"1438",2379,4,2019,2,"Bronx County",39.1,4.5,11.8,0.291845493562232
"1441",2382,5,2019,2,"Bronx County",40.6,3,9.8,0.433476394849785
"1450",2391,6,2019,2,"Bronx County",31.5,10,16.4,0.309012875536481
"1452",2393,7,2019,2,"Bronx County",28.7,10,11.7,0.244635193133047
"1459",2400,1,2019,2,"Bronx County",30.7,10,8.1,0.369098712446352
"1462",2403,2,2019,2,"Bronx County",29.4,8.2,11.2,0.356223175965665
"1466",2407,3,2019,2,"Bronx County",41.1,4.4,17.9,0.36480686695279
"1471",2412,4,2019,2,"Bronx County",35.5,10,15.9,0.334763948497854
"1477",2418,5,2019,2,"Bronx County",39.8,8.2,14.2,0.416309012875536
"1484",2425,6,2019,2,"Bronx County",41.1,7.9,10.6,0.28755364806867
"1490",2431,7,2019,2,"Bronx County",30.9,10,7.6,0.188841201716738
"1495",2436,1,2019,2,"Bronx County",32.8,6.3,8,0.201716738197425
"1497",2438,2,2019,2,"Bronx County",25.9,10,15.1,0.291845493562232
"1502",2443,3,2019,2,"Bronx County",26.7,10,7.7,0.304721030042918
"1507",2448,4,2019,2,"Bronx County",36.8,6.4,13.3,0.351931330472103
"1513",2454,5,2019,2,"Bronx County",38.3,10,8.7,0.351931330472103
"1518",2459,6,2019,2,"Bronx County",34.8,10,4.9,0.218884120171674
"1521",2462,7,2019,2,"Bronx County",40.5,5.7,14.1,0.167381974248927
"1527",2468,1,2019,2,"Bronx County",38.7,8.4,24.3,0.416309012875536
"1531",2472,2,2019,2,"Bronx County",29.2,10,20.2,0.390557939914163
"1538",2479,3,2019,2,"Bronx County",21.6,10,10.9,0.317596566523605
"1542",2483,4,2019,2,"Bronx County",26,7.4,8,0.416309012875536
"2974",2490,5,2019,3,"Bronx County",26.7,10,4,0.510729613733906
"2978",2494,6,2019,3,"Bronx County",35.1,6,16.1,0.386266094420601
"2985",2501,7,2019,3,"Bronx County",34.5,10,5.7,0.304721030042918
"2986",2502,1,2019,3,"Bronx County",37.9,7.7,15.3,0.339055793991416
"2992",2508,2,2019,3,"Bronx County",28.2,10,12.4,0.334763948497854
"2997",2513,3,2019,3,"Bronx County",25.4,10,13.5,0.416309012875536
"3005",2521,4,2019,3,"Bronx County",22.1,10,12.5,0.351931330472103
"3008",2524,5,2019,3,"Bronx County",27.2,10,10.9,0.351931330472103
"3011",2527,6,2019,3,"Bronx County",35.1,10,7.4,0.321888412017167
"3020",2536,7,2019,3,"Bronx County",36.8,7.1,14.7,0.304721030042918
"3022",2538,1,2019,3,"Bronx County",41.7,6,11.1,0.394849785407725
"3027",2543,2,2019,3,"Bronx County",38.6,10,11.8,0.343347639484979
"3031",2547,3,2019,3,"Bronx County",34.5,10,6.7,0.291845493562232
"3038",2554,4,2019,3,"Bronx County",39,10,7.2,0.351931330472103
"3045",2196,5,2019,3,"Bronx County",45.3,7.3,15.3,0.437768240343348
"3047",2198,6,2019,3,"Bronx County",46.9,6.1,16,0.32618025751073
"3052",2203,7,2019,3,"Bronx County",36.3,10,13.2,0.257510729613734
"3057",2208,1,2019,3,"Bronx County",34.5,10,10.8,0.334763948497854
"3064",2215,2,2019,3,"Bronx County",35.2,10,8.2,0.40343347639485
"3069",2220,3,2019,3,"Bronx County",36.9,10,6.7,0.394849785407725
"3075",2226,4,2019,3,"Bronx County",40.7,10,12.7,0.407725321888412
"3080",2231,5,2019,3,"Bronx County",42.3,6.9,15,0.493562231759657
"3082",2233,6,2019,3,"Bronx County",39.3,9,21.7,0.300429184549356
"3089",2240,7,2019,3,"Bronx County",39.1,10,15.5,0.1931330472103
"3094",2245,1,2019,3,"Bronx County",42.5,9.8,11,0.339055793991416
"3099",2250,2,2019,3,"Bronx County",36.9,10,10.8,0.369098712446352
"3101",2252,3,2019,3,"Bronx County",34.4,10,10.7,0.330472103004292
"3108",2259,4,2019,3,"Bronx County",36.3,10,9.1,0.454935622317597
"3113",2264,5,2019,3,"Bronx County",44.4,10,11.7,0.343347639484979
"3119",2270,6,2019,3,"Bronx County",46.1,9.4,7.7,0.304721030042918
"3122",2273,7,2019,3,"Bronx County",49.2,8.6,14.7,0.231759656652361
"4492",2278,1,2019,4,"Bronx County",41.8,10,15.2,0.450643776824034
"4499",2285,2,2019,4,"Bronx County",37.1,10,8.7,0.334763948497854
"4504",2290,3,2019,4,"Bronx County",43.7,6.6,21.6,0.381974248927039
"4509",2295,4,2019,4,"Bronx County",44.5,9.8,16.5,0.386266094420601
"4512",2298,5,2019,4,"Bronx County",39.4,10,10.7,0.412017167381974
"4520",2306,6,2019,4,"Bronx County",46.3,9.2,10.3,0.313304721030043
"4523",2309,7,2019,4,"Bronx County",45.3,10,7.4,0.313304721030043
"4528",2314,1,2019,4,"Bronx County",46.2,5.9,8.4,0.416309012875536
"4533",2319,2,2019,4,"Bronx County",41.4,9.4,12.7,0.300429184549356
"4540",2326,3,2019,4,"Bronx County",41.8,9.3,10.4,0.343347639484979
"4541",2327,4,2019,4,"Bronx County",40.3,10,10.8,0.330472103004292
"4549",2335,5,2019,4,"Bronx County",43.8,10,8.4,0.424892703862661
"4555",2341,6,2019,4,"Bronx County",49.7,5.2,12.6,0.32618025751073
"4560",2346,7,2019,4,"Bronx County",50.8,2.7,7.7,0.274678111587983
"4561",2347,1,2019,4,"Bronx County",52,2.1,15.1,0.377682403433476
"4566",2352,2,2019,4,"Bronx County",47.1,10,18.3,0.377682403433476
"4574",2360,3,2019,4,"Bronx County",47.5,10,10.1,0.32618025751073
"4580",2366,4,2019,4,"Bronx County",43.7,9.6,12.1,0.274678111587983
"4584",2370,5,2019,4,"Bronx County",53.7,4.8,16.7,0.351931330472103
"4587",2373,6,2019,4,"Bronx County",54.5,2.9,17.7,0.274678111587983
"4591",2377,7,2019,4,"Bronx County",52.2,2.3,11.6,0.248927038626609
"4600",2386,1,2019,4,"Bronx County",52.1,2.3,7.3,0.248927038626609
"4603",2389,2,2019,4,"Bronx County",48.8,6.3,11.4,0.373390557939914
"4609",2395,3,2019,4,"Bronx County",51.5,8,9.8,0.309012875536481
"4613",2399,4,2019,4,"Bronx County",47.7,9.9,5.6,0.274678111587983
"4616",2402,5,2019,4,"Bronx County",46.8,7,13.9,0.28755364806867
"4624",2410,6,2019,4,"Bronx County",52.9,6.6,19.3,0.283261802575107
"4628",2414,7,2019,4,"Bronx County",46.9,9.4,8.8,0.180257510729614
"4632",2418,1,2019,4,"Bronx County",47.8,9.8,10.9,0.386266094420601
"4636",2422,2,2019,4,"Bronx County",45.6,8.3,7.6,0.386266094420601
"5973",2429,3,2019,5,"Bronx County",46.9,10,4.7,0.351931330472103
